"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.27027027027027,0.135135135135135,0.189189189189189,0,0.027027027027027,0,0,0,0,0.378378378378378,0
"D",0,0.883556254917388,0.045633359559402,0.00944138473642801,0.002360346184107,0,0,0,0.012588512981904,0.046420141620771,0
"X",0.00259000259000259,0.0186480186480186,0.226884226884227,0.0269360269360269,0.165760165760166,0,0.118881118881119,0.00103600103600104,0.318052318052318,0.121212121212121,0
"T",0.00167785234899329,0.00167785234899329,0.0704697986577181,0.864093959731544,0.0151006711409396,0,0.0218120805369128,0,0.00167785234899329,0.023489932885906,0
"G",0.000380952380952381,0,0.102095238095238,0.008,0.685333333333333,0,0.172380952380952,0,0.000761904761904762,0.031047619047619,0
"F",0,0,0,0,0,0,0,0,0,0,0
"P",0,0.000404244567963618,0.0419403739262254,0.0101061141990905,0.114603335017686,0,0.828903486609399,0,0,0.00404244567963618,0
"C",0,0.00964630225080386,0.00643086816720257,0.00321543408360129,0,0,0,0.97427652733119,0,0.00643086816720257,0
"I",0,0.0122137404580153,0.00916030534351145,0.00610687022900763,0.0213740458015267,0,0.016793893129771,0,0.902290076335878,0.0320610687022901,0
"V",0.00017502023671487,0.00225338554770395,0.024940383731869,0.00183771248550614,0.00522872957185675,0,0.000809468594806274,0.00035004047342974,0.000700080946859481,0.963705178411254,0
"R",0,0,0,0,0,0,0,0,0,0,0
