"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.276997189883581,0.667603372139703,0.0389401846647933,0.00541951023685267,0.00200722601364914,0.000200722601364914,0.00281011641910879,0.00160578081091931,0,0.0044158972300281,0
"D",0.0109988861409504,0.948985255526818,0.0160395703147124,0.0167418678849893,0.00393815250429496,0.00211822009099662,0.000577696388453624,3.3982140497272e-05,0.000249202363646661,0.000317166644641205,0
"X",0.0752911438115013,0.0449580211248533,0.281845264963438,0.103547892028528,0.125304685384129,0.036381691793807,0.036381691793807,0.000902771508531191,0.285998013902681,0.00577773765459962,0.00361108603412476
"T",0.0121365360303413,0.0619396785262778,0.0627632291854795,0.651493588585877,0.0885822647643128,0.100220335921979,0.0220841610980675,0,0.000173379086147733,0.000433447715369334,0.000173379086147733
"G",0.0457687370395971,0.0265132813271453,0.138244297422731,0.137059346301965,0.4727831539449,0.106312333366249,0.0723560778117903,0,0,0,0.000962772785622593
"F",0.00839196405865903,0.0107442570144953,0.0285294990251761,0.113164363821311,0.0973976434686791,0.677108057133167,0.0639966728829368,0,0.000238408069848268,0.000238408069848268,0.000190726455878614
"P",0.00368892569449673,0.00722728299329971,0.0215689226831288,0.0145674922833697,0.0480313182263043,0.0545183066074431,0.847160531004542,7.52841978468719e-05,0.00316193630956862,0,0
"C",0.0262295081967213,0.0131147540983607,0.059016393442623,0.00983606557377049,0,0,0.00655737704918033,0.885245901639344,0,0,0
"I",0.0330538922155689,0.0158083832335329,0.010059880239521,0.0316167664670659,0.0833532934131737,0.0165269461077844,0.0220359281437126,0,0.776047904191617,0.00335329341317365,0.0081437125748503
"V",0.000536768652710682,0.00375738056897477,0.0332796564680623,0.00617283950617284,0.00268384326355341,0.00456253354804079,0,0,0,0.949006977992485,0
"R",0,0,0.271973466003317,0.0132669983416252,0.0497512437810945,0,0.0066334991708126,0,0,0,0.658374792703151
