"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0,0,0,0,0,0,0,0,0,0,0
"D",0,0.869565217391304,0.0434782608695652,0,0,0,0.0869565217391304,0,0,0,0
"X",0,0,0.226763348714568,0.050098879367172,0.221819380355966,0.0227422544495715,0.187870797626895,0,0.278839815425181,0.000659195781147001,0.011206328279499
"T",0,0,0.228094575799722,0.0695410292072323,0.523643949930459,0.127260083449235,0.0514603616133519,0,0,0,0
"G",0,0,0.197219251336898,0.0731550802139037,0.43048128342246,0.0053475935828877,0.292727272727273,0,0.000213903743315508,0,0.000855614973262032
"F",0,0,0.102362204724409,0.0551181102362205,0.0708661417322835,0.696850393700787,0.0433070866141732,0,0.031496062992126,0,0
"P",0,0,0.0364725217822005,0.00362473827588536,0.0627912736114551,0.000382736339689758,0.895017673413333,0,0.00130580633541212,0,0.00040525024202445
"C",0,0,0,0,0,0,0,0,0,0,0
"I",0,0,0.000942507068803016,0.0263901979264844,0.222431668237512,0.00188501413760603,0.204524033930254,0,0.541941564561734,0,0.00188501413760603
"V",0,0,1,0,0,0,0,0,0,0,0
"R",0,0,0.0492227979274611,0,0,0,0.0518134715025907,0,0,0,0.898963730569948
