"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0,0,0,0,0,0,0,0,0,0,0
"D",0,0,0,0,0,0,0,0,0,0,0
"X",0,0,0.446327683615819,0,0.199623352165725,0,0.150659133709981,0,0.203389830508475,0,0
"T",0,0,0,0,0,0,1,0,0,0,0
"G",0,0,0.123404255319149,0,0.182978723404255,0,0.28936170212766,0,0.404255319148936,0,0
"F",0,0,0,0,0.2,0.4,0.4,0,0,0,0
"P",0,0,0.0563994585651978,0.000676793502782373,0.0324860881335539,0.000225597834260791,0.888103474206648,0,0.0221085877575575,0,0
"C",0,0,0,0,0,0,0,0,0,0,0
"I",0,0,0.0544871794871795,0,0.0673076923076923,0,0.496794871794872,0,0.381410256410256,0,0
"V",0,0,0,0,0,0,0,0,0,1,0
"R",0,0,0,0,0,0,0,0,0,0,0
