"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.52112676056338,0.0985915492957746,0,0.028169014084507,0,0.0140845070422535,0,0.28169014084507,0,0.0563380281690141,0
"D",0,0.941176470588235,0.0176470588235294,0.0411764705882353,0,0,0,0,0,0,0
"X",0.00777280731939356,0,0.124364917110297,0.307127097544683,0.104932898811813,0.00109305102928972,0.00728700686193146,0.00170030160111734,0.42847600348157,0.0172459162399045,0
"T",1.42238049863653e-05,4.74126832878844e-05,0.0217442467672119,0.951417803857681,0.0245621405772885,0.000720672785975842,0.00049467232897026,1.89650733151537e-05,0.000184909464822749,0.000794952656460194,0
"G",0.000838744399633748,0,0.198782422713198,0.467942490092332,0.323294028838828,0.00016774887992675,0.00494859195783911,0.000838744399633748,0,0.00318722871860824,0
"F",0,0,0.029296875,0.771484375,0.1171875,0.0703125,0.01171875,0,0,0,0
"P",0.00488301119023398,0,0.166429298067141,0.0563580874872838,0.0610376398779247,0.00122075279755849,0.704374364191251,0,0,0.00569684638860631,0
"C",0.00197889182058048,0,0.00659630606860158,0.0204485488126649,0.0191292875989446,0,0,0.951846965699208,0,0,0
"I",0.00933040614709111,0,0.0482985729967069,0.101811196487377,0.0686059275521405,0.000823271130625686,0.000548847420417124,0.000548847420417124,0.739297475301866,0.0307354555433589,0
"V",0.00034362472015411,0.000249908887384808,0.0274275003904826,0.00551882126308117,0.000937158327693029,0,6.24772218462019e-05,0.00112458999323163,0,0.964335919196126,0
"R",0,0,0,0,0,0,0,0,0,0,0
