"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.2,0.0666666666666667,0.0666666666666667,0.133333333333333,0,0,0,0.133333333333333,0,0.4,0
"D",0,0.986577181208054,0.00671140939597315,0,0,0,0,0,0,0.00671140939597315,0
"X",0.000913103028458378,0.00121747070461117,0.13300867447877,0.00334804443768072,0.0429158423375438,0,0.0130878100745701,0.00273930908537513,0.41637498097702,0.38639476487597,0
"T",0,0.00577200577200577,0.115440115440115,0.802308802308802,0.0202020202020202,0,0,0,0,0.0562770562770563,0
"G",0,0,0.231137724550898,0.00419161676646707,0.534131736526946,0,0.0131736526946108,0,0,0.217365269461078,0
"F",0,0,0.5,0,0,0,0,0,0,0.5,0
"P",0,0,0.216346153846154,0,0.0600961538461538,0.00480769230769231,0.709134615384615,0,0,0.00961538461538462,0
"C",0,0.00741656365883807,0.0271940667490729,0,0,0,0,0.866501854140915,0,0.0988875154511743,0
"I",0,0,0.000632511068943707,0.00316255534471853,0.0676786843769766,0.000632511068943707,0.0126502213788741,0.00126502213788741,0.7235926628716,0.190385831752056,0
"V",3.14476534154117e-05,9.43429602462351e-05,0.0396869386102496,0.000157238267077059,0.00323124638843355,1.57238267077059e-05,0.000102204873600088,0.00110066786953941,0.000723296028554469,0.954856893522177,0
"R",0,0,0,0,0,0,0,0,0,0,0
