"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.5625,0.0625,0.0625,0,0,0,0,0,0,0.3125,0
"D",0.00476190476190476,0.957142857142857,0.0238095238095238,0.00476190476190476,0,0,0,0,0,0.00952380952380952,0
"X",0.00589970501474926,0.00294985250737463,0.404129793510324,0.0206489675516224,0.0176991150442478,0,0.12094395280236,0,0.40117994100295,0.0265486725663717,0
"T",0,0.00281293952180028,0.0253164556962025,0.950773558368495,0.0112517580872011,0,0.0070323488045007,0,0,0.00281293952180028,0
"G",0,0,0.428571428571429,0.0952380952380952,0,0,0.476190476190476,0,0,0,0
"F",0,0,0,0,0,0,0,0,0,0,0
"P",0,0,0.0473072861668427,0.00232312565997888,0.00464625131995776,0,0.943611404435058,0,0,0.00211193241816262,0
"C",0,0,0,0,0,0,0,1,0,0,0
"I",0,0,0,0.0134228187919463,0.0268456375838926,0,0.422818791946309,0,0.536912751677852,0,0
"V",0,0.00129198966408269,0.0232558139534884,0.00387596899224806,0,0,0.00129198966408269,0,0,0.970284237726098,0
"R",0,0,0,0,0,0,0,0,0,0,0
