"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.285714285714286,0,0,0,0.00680272108843537,0,0,0.707482993197279,0,0,0
"D",0,0,0,0,0,0,0,0,0,0,0
"X",0.00579038795599305,0,0.435437174290677,0.12507237984945,0.0480602200347423,0.00926462072958888,0.0173711638679792,0.0718008106543138,0.287203242617255,0,0
"T",0.00209711646486082,0.000299588066408688,0.0921233304206716,0.869529397079016,0.0296592185744601,0.00299588066408688,0.000599176132817376,0.00269629259767819,0,0,0
"G",0.0157946692991115,0,0.230997038499506,0.461994076999013,0.259624876604146,0,0.0157946692991115,0.0157946692991115,0,0,0
"F",0,0,0.6,0.2,0.05,0.15,0,0,0,0,0
"P",0,0,0.18348623853211,0.00917431192660551,0.238532110091743,0.146788990825688,0.422018348623853,0,0,0,0
"C",0.00301602262016965,0,0.0324222431668238,0.000188501413760603,0.00056550424128181,0.000377002827521206,0,0.957398680490104,0.0060320452403393,0,0
"I",0,0,0.0229885057471264,0.131034482758621,0.0275862068965517,0.0137931034482759,0,0.00919540229885057,0.795402298850575,0,0
"V",0,0,0,0,0,0,0,0,0,0,0
"R",0,0,0,0,0,0,0,0,0,0,0
