"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.284403669724771,0.623853211009174,0.0275229357798165,0,0,0,0,0.055045871559633,0,0.00917431192660551,0
"D",0.00175901495162709,0.966578715919085,0.0219876868953386,0.00175901495162709,0,0,0.000439753737906772,0.00571679859278804,0,0.00175901495162709,0
"X",0.0301668806161746,0.0160462130937099,0.346598202824134,0.0417201540436457,0.089216944801027,0,0.0590500641848524,0.00128369704749679,0.291399229781772,0.00513478818998716,0.119383825417202
"T",0,0.005249343832021,0.119422572178478,0.824146981627297,0.047244094488189,0,0.00393700787401575,0,0,0,0
"G",0.0102526547052362,0.0117173196631271,0.225558403515196,0.0380812889051629,0.580373489564262,0.00366166239472721,0.0395459538630538,0,0,0,0.0908092273892347
"F",0,0,0.334883720930233,0,0.223255813953488,0.209302325581395,0.232558139534884,0,0,0,0
"P",0.000545783255824531,0.00150090395351746,0.0159641602328675,0.00150090395351746,0.00463915767450851,0.00108019602715272,0.97340443676305,0.000272891627912265,0,0.000272891627912265,0.000818674883736796
"C",0,0.00872093023255814,0.0116279069767442,0,0,0,0,0.975290697674419,0,0.00436046511627907,0
"I",0.01,0.006,0,0.014,0.016,0,0.104,0,0.756,0,0.094
"V",0.00198807157057654,0.00099403578528827,0.0268389662027833,0.00397614314115308,0,0,0.00298210735586481,0.00198807157057654,0.00099403578528827,0.960238568588469,0
"R",0.00272071826962318,0,0.175486328390695,0,0.00353693375051013,0,0,0,0.00544143653924636,0,0.812814583049925
