"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0,0,0,0,0,0,0,0,0,0,0
"D",0,0,0,0,0,0,0,0,0,0,0
"X",0,0,0.305970149253731,0,0.23134328358209,0,0.149253731343284,0,0.313432835820896,0,0
"T",0,0,0,0.666666666666667,0.333333333333333,0,0,0,0,0,0
"G",0,0,0.19047619047619,0.00432900432900433,0.519480519480519,0,0.285714285714286,0,0,0,0
"F",0,0,0,0,0,0,0,0,0,0,0
"P",0,0,0.0061389337641357,0,0.0158319870759289,0.000969305331179321,0.977059773828756,0,0,0,0
"C",0,0,0,0,0,0,0,0,0,0,0
"I",0,0,0,0,0.217391304347826,0,0.543478260869565,0,0.239130434782609,0,0
"V",0,0,0,0,0,0,0,0,0,0,0
"R",0,0,0,0,0,0,0,0,0,0,0
