"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.419753086419753,0.0112233445566779,0.0572390572390572,0.0303030303030303,0,0.000561167227833895,0,0.478675645342312,0,0.00224466891133558,0
"D",0.0101325019485581,0.941543257989088,0.0140296180826189,0.00623538581449727,0,0,0,0.0233826968043648,0,0.00467653936087295,0
"X",0.00673271871772312,0.00153016334493707,0.378256378868444,0.0751310202364102,0.0332427986687579,0.0116674955051452,0.047320301442179,0.141540109406679,0.290271986534563,0.0143070272751616,0
"T",0.00141004230126904,0.000480014400432013,0.0683720511615349,0.83265497964939,0.00630018900567017,0.0154654639639189,0.019635589067672,0.0505815174455234,0.00420012600378011,0.000900027000810024,0
"G",0,0,0.263014126277999,0.0832747990322329,0.451689690158433,0.0142823694685085,0.179778350113166,0,0.00749239054085694,0.000468274408803559,0
"F",0,0,0.090625513052044,0.153669348218683,0.106386471843704,0.465878618727084,0.182454988234006,0.000656706616319159,0.00032835330815958,0,0
"P",0.0032707945305047,0,0.0710943533366647,0.0192537742848923,0.0263026393494753,0.0223201441572404,0.838860370387196,0.0182619361286512,0.000363421614500522,0.000272566210875392,0
"C",0.00328962790479614,0.000375064464204785,0.0387488474581569,0.015869915141665,3.12553720170654e-05,2.34415290127991e-05,0.00321930331775774,0.925190267077154,0.00521964712684993,0.00803263060838582,0
"I",0.018612459399292,0.000437940221159812,0.0297799350388672,0.0485018794934491,0.0871136089923726,0.00514579759862779,0.0212401007262509,0.0886828947848619,0.672457209590891,0.0280281741542279,0
"V",0.00182149362477231,0.0014216535607979,0.0288773379537074,0.00497578746279266,0.00177706695099738,0.000444266737749345,0,0.0449597938602337,0.00453152072504332,0.911191079123906,0
"R",0,0,0,0,0,0,0,0,0,0,0
