"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.370652173913044,0.558695652173913,0.0184782608695652,0.00217391304347826,0.00217391304347826,0,0,0.00652173913043478,0,0.041304347826087,0
"D",0.00195670783906078,0.93787452610982,0.0203008438302556,0.000122294239941299,0.000489176959765195,0.0359545065427418,0.00256817903876727,0.000611471199706494,0,0.000122294239941299,0
"X",0.0139667458432304,0.0190023752969121,0.349263657957245,0.021187648456057,0.127695961995249,0.044750593824228,0.053396674584323,0,0.331591448931116,0.014061757719715,0.025083135391924
"T",0.000324280502634779,0.00129712201053912,0.0739359546007296,0.746331576813944,0.0731252533441427,0.0852047020672882,0.0188082691528172,0,0.000324280502634779,0.000648561005269558,0
"G",0.0107035343962538,0.0111495149960977,0.175419035938603,0.0415753025854486,0.610051907186482,0.073277090224353,0.0704649347753373,0,0.000594640799791876,0.00423681569851712,0.00252722339911547
"F",0.00253731974457648,0.063432993614412,0.076373324311752,0.0697762929758532,0.168478031039878,0.560536220239354,0.0578508901763437,0,0.000253731974457648,0,0.000761195923372944
"P",0.00460222440846409,0.0022010638475263,0.0455220023011122,0.0068032882559904,0.0398359206950026,0.0277133948074903,0.862166713911724,0,0.00960464224375115,0.00105050774541028,0.000500241783528706
"C",0,0.00223214285714286,0,0.00446428571428571,0,0,0.00223214285714286,0.991071428571429,0,0,0
"I",0.00303260045489007,0.00113722517058378,0.0166793025018954,0.0189537528430629,0.0742987111448067,0.00758150113722517,0.0598938589840788,0.000379075056861259,0.810841546626232,0.00644427596664139,0.000758150113722517
"V",0.00287935502447452,0.000575871004894904,0.0152605816297149,0.000503887129283041,0.00259141952202707,0.00345522602936942,0.000287935502447452,0.000287935502447452,0.000143967751223726,0.974013820904117,0
"R",0,0,0.183333333333333,0,0.0256410256410256,0,0.00384615384615385,0,0,0,0.787179487179487
