"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.598765432098765,0.246913580246914,0.0740740740740741,0.0185185185185185,0,0,0,0.0493827160493827,0.00617283950617284,0.00617283950617284,0
"D",0.00218400218400218,0.917826917826918,0.058968058968059,0.0117390117390117,0.00382200382200382,0,0.00109200109200109,0.00327600327600328,0.00109200109200109,0,0
"X",0.00166933296237045,0.00459066564651874,0.16442929679349,0.255686165403074,0.162551297210823,0.000417333240592613,0.0242053279543716,0.00166933296237045,0.379773248939278,0.00500799888711136,0
"T",0.000183859674210872,0.00119508788237067,0.0683957988064442,0.882283843586489,0.0375380168180529,0.00197649149776687,0.00134830427754639,9.19298371054358e-05,0.00661894827159138,0.000367719348421743,0
"G",0.00131701695659332,0.000658508478296658,0.197881797728146,0.106074740712287,0.620150359435878,0.0055973220655216,0.06601547494924,0,0.000658508478296658,0.00164627119574165,0
"F",0,0,0.257551669316375,0.357710651828299,0.178060413354531,0.0922098569157393,0.114467408585056,0,0,0,0
"P",0.000804828973843058,0,0.0746478873239437,0.0112676056338028,0.103219315895372,0.000804828973843058,0.805633802816901,0,0.00362173038229376,0,0
"C",0,0.0102040816326531,0.0612244897959184,0,0.00510204081632653,0,0,0.918367346938776,0.00510204081632653,0,0
"I",0,0.00111669458403127,0.00781686208821887,0.107202680067002,0.07928531546622,0.0050251256281407,0.0111669458403127,0,0.780569514237856,0.00781686208821887,0
"V",0.0023489932885906,0.00503355704697987,0.0322147651006711,0.00167785234899329,0.000671140939597315,0,0,0,0.000335570469798658,0.957718120805369,0
"R",0,0,0,0,0,0,0,0,0,0,0
