"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.398601398601399,0.0979020979020979,0.013986013986014,0.027972027972028,0,0,0,0.461538461538462,0,0,0
"D",0.000498877525567473,0.936891993015715,0.0354203043152906,0.0212022948366176,0,0,0,0.00249438762783737,0.000498877525567473,0.00299326515340484,0
"X",0.00320836551601212,0.00641673103202424,0.445249836611015,0.0374309310201414,0.0253104390707623,0.00611966015091201,0.154001544768582,0.0035648505733468,0.317984671142535,0.00071297011466936,0
"T",0.00517722023098367,0.0175228992433294,0.0802469135802469,0.879729191557149,0.001194743130227,0.004778972520908,0.00736758263639984,0.00398247710075667,0,0,0
"G",0,0,0.391114801743824,0.0186838281087814,0.213618434710401,0.0141166701266348,0.287730952875234,0,0.0747353124351256,0,0
"F",0.00340136054421769,0,0.258503401360544,0.032312925170068,0.177437641723356,0.422902494331066,0.105442176870748,0,0,0,0
"P",0,0,0.148712159004385,0.00110273846719353,0.0486255152676766,0.0141518103289836,0.708010607293827,0,0.0793971696379342,0,0
"C",0.000756065708983435,0.000412399477627328,0.00879785552271634,0,0,0,0,0.989758746305588,0,0.000274932985084886,0
"I",0.00135394336003611,0.00270788672007221,0.000676971680018053,0.00812366016021663,0.0284328105607582,0.00236940088006318,0.160216630937606,0.000676971680018053,0.795441724021212,0,0
"V",0,0.0158730158730159,0.248677248677249,0.0317460317460317,0,0,0,0,0,0.703703703703704,0
"R",0,0,0,0,0,0,0,0,0,0,0
