"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.424740484429066,0.0259515570934256,0.0986159169550173,0.0207612456747405,0,0,0,0.423010380622837,0,0.0069204152249135,0
"D",0.0026246719160105,0.811548556430446,0.123884514435696,0.0010498687664042,0,0,0,0.026246719160105,0.0335958005249344,0.0010498687664042,0
"X",0.00683357147294527,0.00416226626079394,0.438715288563086,0.0397278996086227,0.00161520780269615,0,0.0042554513263341,0.0979685655712245,0.402745853264583,0.00397589612971361,0
"T",0,9.05100239851564e-05,0.0447798343666561,0.94426845273114,0.000520432637914649,0,0,0.00547585645110196,0.00389193103136172,0.000972982757840431,0
"G",0.0032626427406199,0,0.247960848287113,0.0293637846655791,0.691680261011419,0,0.0277324632952692,0,0,0,0
"F",0,0,0,0,0,0,0,0,0,0,0
"P",0,0,0.105524079320113,0.000708215297450425,0.00637393767705382,0,0.88314447592068,0,0.0028328611898017,0.00141643059490085,0
"C",0.00138831857022741,0.000286788812629136,0.0672259048512935,0.00262020687902075,1.30358551195062e-05,0,0,0.921934781616837,0.00623113874712396,0.000299824667748643,0
"I",0.00162700833841773,0.000305064063453325,0.0126093146227374,0.0427089688834655,0.000508440105755542,0,0.000915192190359976,0.0672157819808827,0.872178157413057,0.00193207240187106,0
"V",0,0.00153080750095675,0.0294680443934175,0.00841944125526215,0,0,0,0.0034443168771527,0.00153080750095675,0.955606582472254,0
"R",0,0,0,0,0,0,0,0,0,0,0
