"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.229244777718265,0.700946259596501,0.0196393501160507,0.00285663274415283,0.005177646848777,0.00178539546509552,0.00321371183717193,0.0110694518835922,0.000357079093019104,0.0232101410462417,0.00249955365113373
"D",0.00946642971696069,0.960374496120671,0.0123791773221794,0.00117030037709679,0.00280872090503229,0.000468120150838715,0.00306878765549824,3.46755667287937e-05,0.000710849117940271,0.00951844306705388,0
"X",0.0942096443865202,0.063675293241482,0.242971513684602,0.0675851796685906,0.162725749394899,0.0308136287469745,0.0362129957177434,0.00204803574753305,0.254328802830013,0.0400297896108732,0.00539936697076894
"T",0.015731336137615,0.00608734311412058,0.0684655107554461,0.678636161553982,0.0921309120755104,0.108124437148752,0.0255577214641542,0.000820765363701652,0.00218870763653774,0.00116275093191067,0.00109435381826887
"G",0.0448232380503116,0.0395435123783259,0.160487331379895,0.103172371249989,0.48252338229024,0.0860631571308048,0.0621592445093574,0.00212277630110765,0.000816452423502944,0.00898097665853238,0.00930755762793356
"F",0.00580968209020165,0.00641953822121729,0.0359708124995542,0.0913286304271846,0.104157007639251,0.683634457228043,0.063628323002632,0,0,0,0.00905154889191638
"P",0.00707464975256151,0.0162054784972468,0.0166585348853419,0.013161868915685,0.0217699402894914,0.0337294672521549,0.88746195488023,0.0002439534397435,6.97009827838573e-05,0.000209102948351572,0.00341534815640901
"C",0,0.00621761658031088,0.00932642487046632,0.00518134715025907,0.00518134715025907,0.00673575129533679,0.00103626943005181,0.966321243523316,0,0,0
"I",0.0289169295478444,0.0541535226077813,0.0162986330178759,0.035751840168244,0.243953732912723,0.0257623554153523,0.0867507886435331,0.000525762355415352,0.47055730809674,0.0368033648790747,0.000525762355415352
"V",0.00413578821405328,0.0245208154010875,0.0210358364999055,0.000713790859278232,0.00573132072302815,0.000566833917662125,0.000125963092813806,0.000419876976046018,0.00134360632334726,0.941406167992778,0
"R",0,0,0.032258064516129,0.0483870967741935,0.0241935483870968,0.0161290322580645,0.00806451612903226,0,0,0,0.870967741935484
