"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.510534846029173,0.0713128038897893,0.0275526742301459,0,0,0,0,0.329011345218801,0.00162074554294976,0.059967585089141,0
"D",0.000620732464307883,0.94827229464101,0.026691495965239,0.000620732464307883,0.00124146492861577,0,0.000206910821435961,0.00475894889302711,0.000206910821435961,0.0173805090006207,0
"X",0.0138251743857224,0.00728963740338088,0.269716583925093,0.0724564821215359,0.107333626594608,0.0057185948595488,0.0109972978068246,0.0306667504556023,0.436875510588827,0.0451203418588575,0
"T",0.00243935492614175,0.000131857023034689,0.0577204118334353,0.8884379704274,0.0346454328023646,0.00522483453774957,0.00184050427985921,0.00257121194917644,0.00665877966325181,0.000329642557586723,0
"G",0.00186777818814963,0.00158286287131325,0.275418139608505,0.0690128211892577,0.620165672980531,0.00688017728064159,0.0155120561388698,0.00107634675249301,0.00037988708911518,0.00810425790112383,0
"F",0,0,0.330155979202773,0.334055459272097,0.238301559792028,0.0818890814558059,0.0103986135181976,0,0.00519930675909879,0,0
"P",0.00154340836012862,0.00102893890675241,0.124244372990354,0.0114469453376206,0.059935691318328,0.00913183279742765,0.756141479099678,0.000514469453376206,0,0.0360128617363344,0
"C",0.00403643507769245,0.00185747454902661,0.0227897838899804,0.000571530630469727,0.000142882657617432,0,0.000142882657617432,0.955313448830148,0.0138596177888909,0.00128594391855689,0
"I",0.00757310146553538,0.00399691466236589,0.0105181964799102,0.0397938433489938,0.0723651917817825,0.00168291143678564,0.0137788373886824,0.0283991304957577,0.770773438047823,0.0511184348923638,0
"V",0.000650457957562013,0.00042191867517536,0.0416293092839689,0.000826257405551747,0.00182831425909323,0.000140639558391787,0.00135365574952095,0.00179315436949528,0.00154703514230965,0.949809257598931,0
"R",0,0,0,0,0,0,0,0,0,0,0
