"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.222222222222222,0.222222222222222,0.222222222222222,0,0,0,0,0.222222222222222,0,0.111111111111111,0
"D",0,0.797752808988764,0.0674157303370786,0.0786516853932584,0,0,0,0.0449438202247191,0,0.0112359550561798,0
"X",0.00400534045393859,0.00133511348464619,0.172229639519359,0.0734312416555407,0.157543391188251,0,0.200267022696929,0,0.38584779706275,0.00534045393858478,0
"T",0.000361086871483164,0.000361086871483164,0.0494689013931935,0.868805103361117,0.0696295850510035,0.000902717178707911,0.00794391117262961,0,0,0.00252760810038215,0
"G",0,0.00178041543026706,0.157566765578635,0.156973293768546,0.631157270029674,0.0013353115727003,0.0502967359050445,0,0.000890207715133531,0,0
"F",0,0,0,0.177777777777778,0,0.822222222222222,0,0,0,0,0
"P",0,0,0.258249641319943,0.0315638450502152,0.084648493543759,0,0.612625538020086,0,0.0129124820659971,0,0
"C",0,0.0810810810810811,0.027027027027027,0.108108108108108,0,0,0,0.756756756756757,0,0.027027027027027,0
"I",0,0,0.0319488817891374,0.0351437699680511,0.0319488817891374,0,0.0159744408945687,0,0.884984025559105,0,0
"V",0,0.00269905533063428,0.0350877192982456,0.0229419703103914,0,0,0,0,0,0.939271255060729,0
"R",0,0,0,0,0,0,0,0,0,0,0
