"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.507109004739337,0.0347551342812006,0.0157977883096366,0.0126382306477093,0,0,0,0.42654028436019,0,0.00315955766192733,0
"D",0,0.92191435768262,0.025908600215905,0.0295070169125585,0,0.00971572508096438,0.00215905001799208,0.00863620007196833,0,0.00215905001799208,0
"X",0.00723143063045153,0.00044730498745061,0.313262592877911,0.186178275887776,0.068884968067394,0.0063616709326309,0.00372754156208842,0.0687358664049104,0.318928456052285,0.0262418925971025,0
"T",6.33905119664267e-05,2.11301706554756e-05,0.0371116230612336,0.934614447754185,0.0219489647683753,0.00328574153692645,0.000919162423513188,0.000929727508840926,4.22603413109512e-05,0.00106355192299227,0
"G",0.00113268990254147,0,0.200344526512023,0.263185218396772,0.484012553979753,0.00799962243669915,0.0133091063548623,0.00113268990254147,0.000849517426906105,0.0280340750879015,0
"F",0,0,0.185454545454545,0.344318181818182,0.0986363636363636,0.345681818181818,0.0259090909090909,0,0,0,0
"P",0.000300940438871473,0,0.0325015673981191,0.0207899686520376,0.0147460815047022,0.00180564263322884,0.925040752351097,0,0.000300940438871473,0.0045141065830721,0
"C",0.00209702580364678,0.000102293941641306,0.0306370355215712,0.000434749251975552,0.000153440912461959,0,0.000153440912461959,0.9522031557681,0.0141165639465003,0.000102293941641306,0
"I",0.00810460341473957,0.00324184136589583,0.00129673654635833,0.0856386427490815,0.0354981629565593,0.00356602550248541,0.00648368273179166,0.0962826885671061,0.753079749297601,0.00680786686838124,0
"V",0.00129620922341818,0.0003812380068877,0.0301178025441283,0.0112211053360613,0.00670978892122352,0,0.00030499040551016,0.0003812380068877,0.00022874280413262,0.949358884751751,0
"R",0,0,0,0,0,0,0,0,0,0,0
