"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.340659340659341,0.483516483516484,0.010989010989011,0.0769230769230769,0,0,0,0.010989010989011,0,0.0769230769230769,0
"D",0.00237388724035608,0.946587537091988,0.0367952522255193,0.00534124629080119,0.0029673590504451,0.000593471810089021,0,0.00356083086053412,0.000593471810089021,0.00118694362017804,0
"X",0.00355778099881407,0.00434839899855053,0.189353010936882,0.0932929239689024,0.266240611411253,0.0111345368296218,0.0430886809856371,0.000790617999736461,0.382263802872579,0.00592963499802346,0
"T",0.000477409259087352,0.000358056944315514,0.0598551858580768,0.856538517644251,0.0251634463643959,0.0496107788401607,0.00167093240680573,0.00417733101701433,0.00119352314771838,0.000954818518174705,0
"G",0.00207386924748173,0,0.217608137467904,0.0703140430574758,0.620630061228521,0.00701165317005728,0.013332016590954,0,0.018368556191981,0.0506616630456251,0
"F",0,0,0.0721616420782553,0.712475946119307,0.0513149454778704,0.164047466324567,0,0,0,0,0
"P",0.0033003300330033,0,0.316831683168317,0.0206270627062706,0.198019801980198,0.00412541254125413,0.443894389438944,0,0.0066006600660066,0.0066006600660066,0
"C",0,0.0337552742616034,0.00843881856540084,0.278481012658228,0,0,0,0.679324894514768,0,0,0
"I",0.00153964588144727,0,0.0138568129330254,0.031562740569669,0.120092378752887,0.00769822940723634,0.0123171670515781,0,0.807544264819092,0.00538876058506543,0
"V",0.00078064012490242,0.00156128024980484,0.0106687483736664,0.00338277387457715,0.0481394743689826,0,0.00104085349986989,0,0,0.934426229508197,0
"R",0,0,0,0,0,0,0,0,0,0,0
