"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.63519313304721,0.231759656652361,0.0128755364806867,0.0944206008583691,0,0,0,0.00858369098712446,0,0.0171673819742489,0
"D",0.00216477779192665,0.931873169489367,0.0313256080478798,0.00967783012861327,0.00050935948045333,0,0,0,0.0129886667515599,0.0114605883101999,0
"X",0.00209338838169448,0.0460545443972786,0.240041867767634,0.269407454788626,0.0568703843693667,0.000348898063615747,0.0153515147990929,0,0.369831947432692,0,0
"T",0.000466252543747606,0.00320548623826479,0.0397771701384676,0.889036751385401,0.0638426009121071,0.000116563135936901,0.00151532076717972,5.82815679684507e-05,0.000466252543747606,0.00151532076717972,0
"G",0.00542931831892218,0.000603257590991353,0.124572692539714,0.587975065352906,0.27629197667404,0.000301628795495677,0.00422280313693947,0,0,0.000603257590991353,0
"F",0,0,0.222222222222222,0.222222222222222,0,0.555555555555556,0,0,0,0,0
"P",0,0,0.197845249755142,0.0568070519098923,0.00685602350636631,0,0.732615083251714,0,0.0019588638589618,0.0039177277179236,0
"C",0,0.12707182320442,0.0165745856353591,0.0883977900552486,0,0,0,0.767955801104972,0,0,0
"I",0.00389863547758285,0.114359974009097,0.0168940870695257,0.137102014294997,0.0311890838206628,0,0.0207927225471085,0,0.675763482781027,0,0
"V",0.000604229607250755,0.0338368580060423,0.00845921450151057,0.00483383685800604,0.000604229607250755,0,0.00302114803625378,0.00120845921450151,0,0.947432024169184,0
"R",0,0,0,0,0,0,0,0,0,0,0
