"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.285714285714286,0.714285714285714,0,0,0,0,0,0,0,0,0
"D",0,0.965267727930536,0.0246020260492041,0.00723589001447178,0.00144717800289436,0,0,0,0,0.00144717800289436,0
"X",0.00412371134020619,0.00247422680412371,0.299381443298969,0.0251546391752577,0.148453608247423,0.00164948453608247,0.14020618556701,0.000824742268041237,0.310103092783505,0.00494845360824742,0.062680412371134
"T",0,0.00289855072463768,0.144927536231884,0.611594202898551,0.127536231884058,0.00579710144927536,0.101449275362319,0,0,0.00579710144927536,0
"G",0.00157770181435709,0,0.150670523271102,0.0348409150670523,0.62792532211412,0.0169602945043387,0.165658690507494,0,0.000788850907178543,0,0.00157770181435709
"F",0,0,0.0763358778625954,0.16793893129771,0.183206106870229,0.343511450381679,0.229007633587786,0,0,0,0
"P",0.000226489878733544,0,0.0256499787665739,0.00305761336290285,0.0277638843014203,0.00254801113575237,0.921049403104799,0,0,0.000113244939366772,0.0195913745104516
"C",0,0,0.00355871886120996,0,0,0,0,0.99644128113879,0,0,0
"I",0,0,0.00225225225225225,0.0112612612612613,0.0337837837837838,0,0.281531531531532,0,0.646396396396396,0,0.0247747747747748
"V",0,0,0.0471698113207547,0,0,0,0.00471698113207547,0,0,0.94811320754717,0
"R",0,0,0.0964247020585049,0,0.00162513542795233,0,0.0964247020585049,0,0,0,0.805525460455038
