"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0,0,0,0,0,0,0,0,0,0,0
"D",0,0,0,0,0,0,0,0,0,0,0
"X",0,0,0.451612903225806,0,0.137096774193548,0,0.0483870967741935,0,0.362903225806452,0,0
"T",0,0,0,0,1,0,0,0,0,0,0
"G",0,0,0.379310344827586,0.0114942528735632,0.350574712643678,0,0.258620689655172,0,0,0,0
"F",0,0,0,0,0,0,0,0,0,0,0
"P",0,0,0.00898203592814371,0,0.0364271457085828,0,0.954590818363273,0,0,0,0
"C",0,0,0,0,0,0,0,0,0,0,0
"I",0,0,0,0,0.238095238095238,0,0.0793650793650794,0,0.682539682539683,0,0
"V",0,0,0,0,0,0,0,0,0,0,0
"R",0,0,0,0,0,0,0,0,0,0,0
