"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0,0,0,0,0,0,0,0,0,0,0
"D",0,0.914285714285714,0.0857142857142857,0,0,0,0,0,0,0,0
"X",0,0,0.208608858390518,0.111416094822208,0.233063006862133,0.00174672489082969,0.183156581409857,0,0.261509669369931,0.00049906425452277,0
"T",0,0,0.239167572604442,0.198478024537972,0.47678210902314,0.00217425066004038,0.080913185277217,0,0.002484857897189,0,0
"G",0,0,0.236675235646958,0.0918594687232219,0.411996572407883,0.0143101970865467,0.24515852613539,0,0,0,0
"F",0,0,0.031331592689295,0.0365535248041775,0.237597911227154,0.258485639686684,0.436031331592689,0,0,0,0
"P",0,7.20551942788176e-05,0.02498513861618,0.0053320843766325,0.0595175904743033,0.00281915947615874,0.907165889071028,0,0.000108082791418226,0,0
"C",0,0,0,0,0,0,0,0,0,0,0
"I",0,0,0.0125673249551167,0.0915619389587074,0.225763016157989,0.00179533213644524,0.237432675044883,0,0.429084380610413,0.00179533213644524,0
"V",0,0,0.285714285714286,0,0,0,0,0,0,0.714285714285714,0
"R",0,0,0,0,0,0,0,0,0,0,0
