"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.234215885947047,0.659877800407332,0.0285132382892057,0.00610997963340122,0,0.00203665987780041,0,0.0142566191446029,0,0.054989816700611,0
"D",0.00634062423199803,0.949520766773163,0.0310641435242074,0.000344064880806095,0.0100270336692062,0.0009338903907594,0.000884738264929958,0.000294912754976653,0.000196608503317768,0.000393217006635537,0
"X",0.0339782916470033,0.0322793770646531,0.244360547428032,0.0284568192543653,0.214912694667296,0.0238319962246343,0.0300141576215196,0.00254837187352525,0.376309579990562,0.0133081642284096,0
"T",0.00486876189881714,0.00580506226397428,0.0582378827127743,0.526606535376549,0.110670703161574,0.278268468524703,0.0110483443088543,0.000374520146062857,0.000374520146062857,0.00374520146062857,0
"G",0.00607752956636005,0.0123193166885677,0.257063074901445,0.0506460797196671,0.469420718353044,0.13339082347788,0.0502217477003942,0.000328515111695138,0.0177398160315375,0.00279237844940867,0
"F",0.00595085743537241,0.00863834143844382,0.100012797542872,0.30090222677246,0.27322754031226,0.234482979267981,0.0767852572306117,0,0,0,0
"P",0.00300414702905097,0.00626952423454116,0.0241637913206274,0.00783690529317645,0.0262100943694012,0.0355273039957332,0.89685761866925,0,0,0.000130615088219608,0
"C",0.00879765395894428,0.00879765395894428,0.0410557184750733,0,0,0,0,0.93841642228739,0,0.00293255131964809,0
"I",0.00358208955223881,0.00895522388059702,0.0238805970149254,0.00417910447761194,0.248955223880597,0.00417910447761194,0.0435820895522388,0,0.656119402985075,0.00656716417910448,0
"V",0.00341442594963722,0.00170721297481861,0.0187793427230047,0.00256081946222791,0.00853606487409304,0,0,0.000853606487409304,0.000426803243704652,0.963721724285105,0
"R",0,0,0,0,0,0,0,0,0,0,0
