"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.520408163265306,0.112244897959184,0.102040816326531,0,0,0,0.0204081632653061,0,0,0.244897959183673,0
"D",0.000796087797111338,0.937563971340839,0.022517911975435,0.0232002729443876,0,0,0.000341180484476288,0.00511770726714432,0.00409416581371546,0.00636870237689071,0
"X",0.00335676072589951,0.00356655827126823,0.279450330431134,0.0251757054442463,0.112031889226896,0.000839190181474877,0.0252806042169307,0.000839190181474877,0.437218084548411,0.112241686772265,0
"T",0.000768491834774256,0.0238232468780019,0.0883765609990394,0.858021133525456,0.0151777137367915,0.00153698366954851,0.00499519692603266,0.00153698366954851,0.000768491834774256,0.00499519692603266,0
"G",0,0,0.175478065241845,0.00874890638670166,0.721409823772028,0.00174978127734033,0.0479940007499063,0.000249968753905762,0.0189976252968379,0.0253718285214348,0
"F",0,0,0.138613861386139,0.247524752475248,0.158415841584158,0.336633663366337,0.0792079207920792,0,0.0396039603960396,0,0
"P",0.000282685512367491,0,0.240282685512367,0.0080565371024735,0.162826855123675,0.000989399293286219,0.584593639575972,0.000282685512367491,0.000565371024734982,0.00212014134275618,0
"C",0,0.00765631646108039,0.00510421097405359,0.0012760527435134,0.000850701829008932,0,0,0.90004253509145,0,0.0850701829008932,0
"I",0.00174596246180707,0.00392841553906591,0.0178961152335225,0.00523788738542121,0.0833697075512876,0.000872981230903536,0.126145787865561,0.0013094718463553,0.690528153644697,0.0689655172413793,0
"V",0,0.000157274552977328,0.0166590045730601,0.00029640204214958,0.00339954995281763,0,3.02451063417939e-05,0.00218974569914588,3.62941276101527e-05,0.977231483945898,0
"R",0,0,0,0,0,0,0,0,0,0,0
