"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.263807201262373,0.692870463348157,0.0183617845359346,0.0106154066848372,0.0025821259503658,0.0038731889255487,0.0025821259503658,0.0038731889255487,0,0.00143451441686989,0
"D",0.0108587192580853,0.959247520103305,0.0129013323942009,0.00169630803545225,0.00219913521551134,0.00557805560446871,0.00644479661912309,0.000111521981569525,0.000763045137054646,0.000199565651229677,0
"X",0.163536571705933,0.0793040361423291,0.260538401224657,0.0502930963670985,0.0869208079752082,0.0137400589926446,0.042788335884703,0.000448045401934063,0.296830078781317,0.00537654482320875,0.000224022700967031
"T",0.0090293453724605,0.0135440180586907,0.0693324733956788,0.791268049733061,0.0308502633559067,0.0711060948081264,0.0132573721738507,0.00107492206815006,0.000214984413630012,0.000214984413630012,0.000107492206815006
"G",0.0733229828576916,0.0692414808649583,0.17334379051491,0.0394705251532564,0.561214526945916,0.0400947548697921,0.0407189845863278,0,0.00028810602301647,0.00144053011508235,0.00086431806904941
"F",0.0224678037384491,0.068280532682614,0.0312052829700682,0.0651431366650828,0.0528634361233479,0.663168488849032,0.0966689063251139,0,0,0.000101206323146167,0.000101206323146167
"P",0.00908853632618058,0.0307052704189116,0.0232107235407073,0.00239098417196443,0.010281698018233,0.0282769999440706,0.890508771602752,0,0.00548108652286582,5.59294543149574e-05,0
"C",0.0023094688221709,0.0115473441108545,0.0092378752886836,0,0,0,0.0023094688221709,0.972286374133949,0,0.0023094688221709,0
"I",0.0332217357713108,0.0381148596446047,0.00154519701261911,0.021375225341231,0.0236930208601597,0.00643832088591295,0.0540818954416688,0.000515065670873036,0.812773628637651,0.00772598506309554,0.000515065670873036
"V",0.0155452999757105,0.00485790624240952,0.0446927374301676,0.00412922030604809,0.00242895312120476,0.00510080155453,0.000485790624240952,0.000242895312120476,0,0.922516395433568,0
"R",0.00956937799043062,0,0.076555023923445,0,0.00956937799043062,0,0.0191387559808612,0,0,0,0.885167464114832
