"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.194221234399043,0.760471875534279,0.0270131646435288,0.00256454094717046,0.0116259189605061,0.00136775517182424,0.00136775517182424,0.00136775517182424,0,0,0
"D",0.0147858572802219,0.967543624584246,0.0111918535916392,0.00124529075174577,0.00238023928498242,0.00115071170730938,0.000346789829600088,0.000157631740727313,0.00107189583694573,3.15263481454626e-05,9.45790444363877e-05
"X",0.0578941553419512,0.0599933708982433,0.145398298530549,0.0471771075019335,0.081096011490443,0.0493868080875041,0.0208816705336427,0,0.224505579493979,0,0.313666998121755
"T",0.0083496180493871,0.0161662817551963,0.0765677740273583,0.532599040682182,0.0863386036596198,0.232101616628176,0.0046189376443418,0,0,0.0007106057914372,0.0425475217623024
"G",0.0400455062571104,0.0222980659840728,0.158361774744027,0.103526734926052,0.401820250284414,0.127189988623436,0.0418657565415245,0,0.000455062571103527,0,0.104436860068259
"F",0.00284062087856346,0.00507253728314903,0.129451151465963,0.286395455006594,0.143857157350107,0.290250583341788,0.00831896114436441,0,0,0,0.133813533529471
"P",0.00502933780385583,0.00239492276374087,0.0629864686863849,0.00622679918572626,0.0428691174709616,0.0199976050772363,0.84205484373129,0,0,0,0.0184409052808047
"C",0.0048780487804878,0.032520325203252,0.0032520325203252,0,0,0,0,0.95609756097561,0,0.0032520325203252,0
"I",0.0201511335012594,0.0261964735516373,0.00906801007556675,0.00906801007556675,0.0624685138539043,0.0171284634760705,0.0261964735516373,0,0.434256926952141,0,0.395465994962217
"V",0.0149253731343284,0.0149253731343284,0.0149253731343284,0.0298507462686567,0.0597014925373134,0,0,0,0,0.865671641791045,0
"R",0.000917615347116681,0,0.228027413758495,0.00676741318498552,0.0175493935136065,0.0264387921887994,0.00266681960255785,0,0.000573509591947925,0,0.717059042812491
