"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.382716049382716,0.577960676726109,0.0173754000914495,0,0.000914494741655235,0,0,0.0182898948331047,0.000914494741655235,0.00182898948331047,0
"D",0.00566893424036281,0.969723691945914,0.0141933316536491,0.000587889476778366,0.00394725791551188,0.0018896447467876,0.00180566053581927,0.0017636684303351,0.000335936843873352,8.39842109683379e-05,0
"X",0.0753581661891117,0.0389684813753582,0.153008595988539,0.00687679083094556,0.267621776504298,0.00487106017191977,0.0853868194842407,0.00401146131805158,0.35702005730659,0,0.00687679083094556
"T",0.0126582278481013,0.0126582278481013,0.122362869198312,0.649789029535865,0.170886075949367,0.0147679324894515,0.0126582278481013,0,0,0.00421940928270042,0
"G",0.0305351281203084,0.0218326166060205,0.249624672383521,0.00946588971729561,0.590345810325962,0.00916053843609252,0.0884246418483931,0.000305351281203084,0.000305351281203084,0,0
"F",0.0477981854392565,0.0477981854392565,0.127904403629122,0.0185881832263775,0.221582946079516,0.435420815814708,0.0743527329055101,0,0,0,0.0265545474662536
"P",0.00370754856888625,0.00771170102328341,0.0464185080824559,0.0005932077710218,0.0228384991843393,0.00435019032082654,0.910672796480301,0.00133471748479905,0.0023728310840872,0,0
"C",0.00325732899022801,0.00728108833109791,0.00728108833109791,0.000383215175320943,0.00229929105192566,0,0.000766430350641885,0.978731557769688,0,0,0
"I",0.0102639296187683,0.06158357771261,0.00733137829912024,0.00659824046920821,0.0659824046920821,0.00513196480938416,0.112903225806452,0,0.730205278592375,0,0
"V",0,0,0.0372670807453416,0.0062111801242236,0,0,0,0,0,0.956521739130435,0
"R",0,0,0.474576271186441,0,0,0.11864406779661,0,0,0,0,0.406779661016949
