"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0,0,0,0,0,0,0,0,0,0,0
"D",0,1,0,0,0,0,0,0,0,0,0
"X",0,0.00284090909090909,0.553977272727273,0.0113636363636364,0.00568181818181818,0,0.122159090909091,0,0.298295454545455,0.00568181818181818,0
"T",0,0,0.111111111111111,0.888888888888889,0,0,0,0,0,0,0
"G",0,0,0.297872340425532,0,0.382978723404255,0,0.319148936170213,0,0,0,0
"F",0,0,0,1,0,0,0,0,0,0,0
"P",0,0,0.086436170212766,0.0106382978723404,0.0172872340425532,0,0.88563829787234,0,0,0,0
"C",0,0,0,0,0,0,0,0,0,0,0
"I",0,0,0,0.00719424460431655,0.0215827338129496,0,0.446043165467626,0,0.525179856115108,0,0
"V",0,0,0.0718562874251497,0,0,0,0,0,0,0.92814371257485,0
"R",0,0,0,0,0,0,0,0,0,0,0
