"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.271948073562453,0.326703836232005,0.0513439294333028,0.00657402013813764,0.00515935757676625,0.000582508113505867,0.00141466256137139,0.317966214529417,0,0.0183073978530415,0
"D",0.00835686961495835,0.95648171320296,0.0236316184619785,0.00073290193414608,0.000741839762611276,0.0020646383754603,0.00016088091237353,0.00666762003503629,1.78756569303922e-05,0.0011440420435451,0
"X",0.0847432250336877,0.0337176223985627,0.335080101811648,0.0110196137146279,0.0877975744871987,0.00649797873933224,0.0127564006587813,0.0567150771073514,0.357778110495583,0.0138942955532265,0
"T",0.0135341429515368,0.0128506003782269,0.081478274738545,0.840597871904122,0.0192759005673403,0.0195493175966643,0.00369112989587368,0.00355442138121169,0,0.00546834058647953,0
"G",0.0256033694477542,0.0150461359416997,0.329213887888276,0.00670564437917371,0.505278616753027,0.0768101083432625,0.03286319931281,0.00748150405940868,0.000166255645764637,0.000831278228823187,0
"F",0.0122252456080394,0.0143276763813965,0.038856035403896,0.0117969726727259,0.0975813394127902,0.769147909898296,0.055208274752229,0.0002336034192619,0,0.000622942451365066,0
"P",0.00592467202708421,0.0067710537452391,0.0308544608163736,0.00323163928750048,0.0419856628066531,0.06015722181613,0.849690301234948,0.00138498826607163,0,0,0
"C",0.00545491201290285,0.00440079490798076,0.0253564125457216,0.000161285677255839,0.000437775409694421,1.15204055182742e-05,1.15204055182742e-05,0.959684340888799,0.00443535612453558,4.6081622073097e-05,0
"I",0.0557320403499972,0.0217354957364989,0.00312099425959984,0.00579613219639971,0.0425792788273979,0.00507161567184975,0.00289806609819986,0.0639803823217968,0.79128350888926,0.00780248564899961,0
"V",0.0136385417818571,0.0108371115780161,0.0589774779755981,0.00103210586457297,0.00434958900070036,0.00187990711047219,0.000221165542408493,0.00169560249179844,0,0.907368498654576,0
"R",0,0,0,0,0,0,0,0,0,0,0
