"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0,1,0,0,0,0,0,0,0,0,0
"D",0,0.964705882352941,0.0235294117647059,0.00588235294117647,0,0,0,0.00588235294117647,0,0,0
"X",0,0,0.448979591836735,0,0.0204081632653061,0,0.163265306122449,0,0.36734693877551,0,0
"T",0.0192307692307692,0.0769230769230769,0.0192307692307692,0.884615384615385,0,0,0,0,0,0,0
"G",0,0,0.176470588235294,0,0.823529411764706,0,0,0,0,0,0
"F",0,0,0,0,0,0,0,0,0,0,0
"P",0,0,0.0208333333333333,0,0,0,0.979166666666667,0,0,0,0
"C",0,0.0869565217391304,0.0434782608695652,0,0,0,0,0.869565217391304,0,0,0
"I",0,0,0,0,0,0,0.363636363636364,0,0.636363636363636,0,0
"V",0,0.032258064516129,0,0,0,0,0,0,0,0.967741935483871,0
"R",0,0,0,0,0,0,0,0,0,0,0
