"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.446672582076309,0.000709849157054126,0.0161490683229814,0.00230700976042591,0,0,0.000354924578527063,0.53167701863354,0.00141969831410825,0.000709849157054126,0
"D",0.00149476831091181,0.929745889387145,0.0478325859491779,0.00298953662182362,0,0,0,0.0164424514200299,0.00149476831091181,0,0
"X",0.0572331460674157,0.000702247191011236,0.367099719101124,0.0878686797752809,0.0211551966292135,0.00500351123595506,0.00482794943820225,0.148700842696629,0.305126404494382,0.00228230337078652,0
"T",0.00201554337718735,0.000116843094329701,0.0240502035828635,0.947074946730909,0.00975639837653006,0.00432319449019895,0.00116843094329701,0.0114652286311019,0,2.92107735824253e-05,0
"G",0.00368918607332257,0,0.273768349857813,0.263008223810622,0.373760664053493,0.00691722388747982,0.0179847821074475,0.0599492736914918,0,0.000922296518330643,0
"F",0,0,0.155844155844156,0.722170686456401,0.0278293135435993,0.0941558441558442,0,0,0,0,0
"P",0,0,0.0554468362687541,0.0998043052837573,0.0189171559034573,0.00521852576647097,0.819308545335943,0.00130463144161774,0,0,0
"C",0.00734386370724608,0.000155941366046367,0.0151458051772534,0.00334949059153758,0.000711482482586547,0,1.46195030668469e-05,0.972635539037322,0.000575033787295977,6.82243476452854e-05,0
"I",0.0276478959138036,0.00121976011384428,0.00528562715999187,0.0520430981906892,0.00589550721691401,0,0.0126041878430575,0.105305956495223,0.789997967066477,0,0
"V",0,0,0.010443864229765,0.00261096605744125,0.010443864229765,0,0,0.00783289817232376,0,0.968668407310705,0
"R",0,0,0,0,0,0,0,0,0,0,0
