"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.287474332648871,0.537474332648871,0.0328542094455852,0.0138603696098563,0.0164271047227926,0,0.0112936344969199,0.0882956878850103,0.00102669404517454,0.0112936344969199,0
"D",0.00766683571492497,0.933743026759345,0.0288177560335312,0.00671221025625727,0.015661823931267,0.000417648638167119,0.00184958682616867,0.00089496136750097,0.003997494108171,0.000238656364666925,0
"X",0.0360802732707088,0.0659692570452605,0.230358667805295,0.0790990606319385,0.183603757472246,0.0304227156276687,0.0450469684030743,0.0256191289496157,0.239111870196413,0.0192143467122118,0.0454739538855679
"T",0.00376960531334844,0.00982789956694415,0.0578230529315413,0.509850337693809,0.175690533354276,0.221363340588328,0.0152130500145848,0.000269257522382032,0.00107703008952813,0.0017501738954832,0.00336571902977539
"G",0.0181452919447865,0.0445207698788154,0.108526127060247,0.143607024820167,0.471021536733415,0.135312034216836,0.0495107251636316,0.00686928909338345,0.000648046140885231,0.016849199663016,0.00498995528481628
"F",0.00582082444040711,0.00571499126876334,0.0554565819413332,0.382886776145203,0.262677932019826,0.236325472280528,0.0382057749633994,0,0,0.006773322985201,0.0061383239553384
"P",0.00145758823132465,0.0120655914704096,0.0479384573857885,0.0232809231392132,0.0587623996221068,0.0328767123287671,0.821027059855591,0.000485862743774884,0.000323908495849922,0.000485862743774884,0.00129563398339969
"C",0.00366132723112128,0.00594965675057208,0.0393592677345538,0.00320366132723112,0.0837528604118993,0,0,0.848054919908467,0.0151029748283753,0.00091533180778032,0
"I",0.0110253583241455,0.0242557883131202,0.027930907754502,0.0374862183020948,0.121278941565601,0.019845644983462,0.0771775082690187,0.0242557883131202,0.540242557883131,0.00220507166482911,0.114296214626975
"V",0.00215686274509804,0.000196078431372549,0.0243137254901961,0.00176470588235294,0.0250980392156863,0.0194117647058824,0.000588235294117647,0.00176470588235294,0,0.924705882352941,0
"R",0.00124766063630692,0,0.27292576419214,0.0112289457267623,0.0121646912039925,0.0227698066126014,0.000623830318153462,0,0,0,0.679039301310044
