"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.364219114219114,0.563519813519814,0.020979020979021,0.00116550116550117,0.00116550116550117,0,0,0.0431235431235431,0,0.00582750582750583,0
"D",0.0277767885759054,0.960293436843417,0.00754958868986147,0.000534169011075104,0.00121078309177024,7.12225348100139e-05,7.12225348100139e-05,0.00213667604430042,7.12225348100139e-05,0,0.000284890139240056
"X",0.0744109136006614,0.0322447292269533,0.343116990491939,0.0305911533691608,0.119057461761058,0.00950806118230674,0.034725093013642,0.0322447292269533,0.225713104588673,0.00330715171558495,0.0950806118230674
"T",0.0129975629569456,0.00974817221770918,0.0877335499593826,0.728675873273761,0.100731112916328,0.0503655564581641,0,0.00649878147847279,0,0.00324939073923639,0
"G",0.0294117647058824,0.00773993808049536,0.28328173374613,0.0626934984520124,0.541795665634675,0.0239938080495356,0.0154798761609907,0,0.0139318885448916,0,0.021671826625387
"F",0.024896265560166,0.024896265560166,0.0497925311203319,0.128630705394191,0.141078838174274,0.551867219917012,0.0622406639004149,0,0,0,0.016597510373444
"P",0.000978792822185971,0.00065252854812398,0.0257748776508972,0.000815660685154976,0.00734094616639478,0.00228384991843393,0.958727569331158,0.00163132137030995,0,0,0.00179445350734095
"C",0.014821272885789,0.031386224934612,0.019180470793374,0,0,0,0.001743679163034,0.93025283347864,0.000871839581517001,0.001743679163034,0
"I",0.0313676286072773,0.00250941028858218,0,0.0150564617314931,0.0376411543287327,0.00501882057716437,0.0777917189460477,0.0100376411543287,0.790464240903388,0.0125470514429109,0.0175658720200753
"V",0,0.00460829493087558,0.0414746543778802,0,0,0,0,0.00921658986175115,0,0.944700460829493,0
"R",0.00244669695910521,0,0.0258650821391122,0,0,0.00034952813701503,0,0,0,0,0.971338692764768
