"","YP","D","X","T","G","F","P","C","I","V","R"
"YP",0.298707487849537,0.479450812571268,0.0350535314966631,0.00798197158749973,0.00366973893145383,0.00128112862801543,0.0014586344017766,0.151975812908914,0.000370446832197232,0.0198652113765766,0.000185223416098616
"D",0.0100256174914249,0.957549349759553,0.0181845946015823,0.00335084975093507,0.00233202121791889,0.00275054078976852,0.00176456900563628,0.00126767800817002,0.000998629711980971,0.00176403037040867,1.21192926211283e-05
"X",0.0379454168400007,0.0247226137330262,0.300508515618694,0.070828961175236,0.0947707954326729,0.0148868102597217,0.0374471460414636,0.0308648490906946,0.33193217308158,0.0220263633372036,0.0340663553897068
"T",0.00294901670891436,0.00502591187315611,0.0544475862738447,0.851021498315197,0.0379599208238223,0.0335422099040819,0.00791450301790386,0.00389090797716077,0.00142529578157922,0.00132043354823169,0.000502715776107707
"G",0.0159812331525381,0.0139891092721732,0.208918615307995,0.106076295313214,0.498326122313252,0.0533676592022105,0.0844422109461738,0.00191347124104136,0.0053090531543344,0.00747691652568761,0.00419931357137978
"F",0.00904828428932812,0.0193260725551508,0.0709786261271308,0.164047134418216,0.117074384647332,0.529265077899479,0.0828586825566266,0.000123568238843675,0.000197709182149881,0.00057459231062309,0.00650586777511951
"P",0.002466239969296,0.00488531807963416,0.0405120368447958,0.0103086608146208,0.0420464235319249,0.0218326881554889,0.872328240033262,0.000873307526219555,0.0024784370017851,0.00104406598106695,0.00122458206190563
"C",0.00450153715107229,0.00173633906967488,0.0307664553277675,0.00392945285605087,0.00082130177074596,4.46359658014109e-05,0.000518893102441401,0.950820836812769,0.00426943012890495,0.0025911178147719,0
"I",0.0169130296051719,0.0135626786160206,0.0102487444854471,0.0369700480008879,0.0685764129741128,0.00844524291778808,0.0418186926000943,0.0274270969173996,0.741311978025027,0.0147956493992952,0.0199304264587553
"V",0.00349659647705846,0.00464563720121385,0.0316697392271248,0.00202349905782371,0.00358193965248012,0.000656771393462342,0.000514532767759575,0.00333580498713359,0.000554112211433388,0.94952136702451,0
"R",0.000634745798309523,0,0.178718280212266,0.00241763473179656,0.00555402573520832,0.00665082913669904,0.0047652607358384,0,0.000690752780513304,0,0.800568470869368
