cdl_code,cdl_name,total_mass
75,Almonds,348463.72695364093
69,Grapes,347153.34937741165
176,Grass/Pasture,343287.49547832634
36,Alfalfa,183601.08806037082
152,Shrubland,182001.8433477636
76,Walnuts,146587.28765750746
61,Fallow/Idle Cropland,145116.61336873987
72,Citrus,135779.67736531454
121,Developed/Open Space,101301.43877535062
37,Other Hay/Non Alfalfa,81217.60848530255
24,Winter Wheat,73146.02888668486
3,Rice,70604.39805891394
204,Pistachios,69240.96626317507
215,Avocados,52302.79771244911
54,Tomatoes,52238.48506273097
1,Corn,38555.60019134173
122,Developed/Low Intensity,36178.57601222512
195,Herbaceous Wetlands,35395.45647144363
2,Cotton,32362.614006287793
71,Other Tree Crops,31998.526242338976
225,Dbl Crop WinWht/Corn,29234.547632209807
212,Oranges,27178.42416682302
211,Olives,24336.878253805033
66,Cherries,23277.943952859565
28,Oats,20283.994426073394
220,Plums,20029.712531498568
67,Peaches,15024.45491762425
221,Strawberries,14995.403954620731
123,Developed/Med Intensity,12624.900527405083
226,Dbl Crop Oats/Corn,12585.702915186273
131,Barren,12096.795654297997
205,Triticale,12066.787851177944
190,Woody Wetlands,10963.697465634454
6,Sunflower,9435.356794932575
210,Prunes,8985.042094818853
68,Apples,8780.710399375177
58,Clover/Wildflowers,8410.647625757836
21,Barley,8004.74125860782
33,Safflower,7889.4542654171755
142,Evergreen Forest,7355.305745142665
228,Dbl Crop Triticale/Corn,7264.699601983533
217,Pomegranates,7173.929497087206
111,Open Water,6466.1962540718805
49,Onions,6313.334837589211
143,Mixed Forest,6163.775076024533
206,Carrots,5700.38796965304
77,Pears,5223.10974945638
218,Nectarines,5145.979428787069
42,Dry Beans,5057.398620324456
227,Lettuce,4791.541816603133
208,Garlic,4405.939629569351
27,Rye,4222.809812185447
47,Misc Vegs & Fruits,4196.913276786826
22,Durum Wheat,4028.6033335556563
41,Sugarbeets,3620.185882086691
124,Developed/High Intensity,3123.024165848805
43,Potatoes,3054.759163484746
219,Greens,2588.9881170961094
44,Other Crops,2467.993650939202
209,Cantaloupes,2234.98977322429
4,Sorghum,2125.875070830734
23,Spring Wheat,2075.8161805410164
141,Deciduous Forest,2030.1279135512295
48,Watermelons,1877.4304948219133
236,Dbl Crop WinWht/Sorghum,1787.366400651187
59,Sod/Grass Seed,1631.8411783697823
12,Sweet Corn,1613.7177223164808
216,Peppers,1543.4574112160349
50,Cucumbers,1526.3910269781597
223,Apricots,1520.903834908649
214,Broccoli,1418.4679807695554
46,Sweet Potatoes,1266.2389987089978
57,Herbs,1093.8634826101663
51,Chick Peas,905.0519497195694
74,Pecans,865.6701440256952
53,Peas,856.2140716006339
242,Blueberries,810.3977003870692
213,Honeydew Melons,785.1360833616909
222,Squash,383.589009251734
229,Pumpkins,298.6684230216294
243,Cabbage,275.4459715959293
14,Mint,241.37355076354925
244,Cauliflower,236.21204150197357
237,Dbl Crop Barley/Corn,152.9295612716651
224,Vetch,87.28129654806145
238,Dbl Crop WinWht/Cotton,67.0136385263786
31,Canola,54.26586638847151
13,Pop or Orn Corn,52.892806946976094
247,Turnips,41.7737305231018
45,Sugarcane,38.87522631525078
92,Aquaculture,35.31397432912863
207,Asparagus,31.669482750314945
231,Dbl Crop Lettuce/Cantaloupe,26.831835007995416
245,Celery,25.41820775338796
248,Eggplants,16.550441242154708
5,Soybeans,11.699243913935117
29,Millet,11.449307819622572
32,Flaxseed,10.083546595194736
246,Radishes,9.413556043451765
70,Christmas Trees,5.588360709118446
0,Background,4.293733200888736
39,Buckwheat,4.063255323653771
35,Mustard,2.6193858431401273
249,Gourds,0.5238133627787986
112,Perennial Ice/Snow,0.30021192838959204
38,Camelina,0.2530092082090865
