truth_key,CLASS,SUBCLASS,row_mass,n_codes_gt0,max_share
F::**,F,**,1,10,0.4450834430554711
P::5,P,5,2,13,0.49989625140252253
P::**,P,**,10,16,0.5076893816118401
D::**,D,**,44,37,0.1679410467056851
F::5,F,5,774,57,0.8368367508968878
T::**,T,**,286,61,0.20901522105151799
C::10,C,10,1709,64,0.7173133610171248
P::4,P,4,17795,71,0.23426706432636615
D::2,D,2,1476,73,0.2897450369956275
D::7,D,7,9176.63148724305,74,0.4457910692248681
D::17,D,17,1043,76,0.30199830701120234
G::**,G,**,1001,78,0.18714222814175158
D::8,D,8,7672,79,0.2896182429554287
R::2,R,2,3389,80,0.193090362612087
T::13,T,13,4039.231223235883,83,0.24256761849525307
C::8,C,8,3346,84,0.5107125156772816
P::7,P,7,2072,86,0.29510269774045966
C::7,C,7,4976,87,0.23941200930080112
R::**,R,**,4356,87,0.1406968879172054
C::4,C,4,7796,88,0.5283861023637458
D::6,D,6,5105,88,0.6922951875305835
T::27,T,27,7423,89,0.2125187487717628
D::15,D,15,5429,90,0.6455353802088546
F::2,F,2,6036,90,0.4929910665622433
D::1,D,1,9598,92,0.5318426467970312
D::3,D,3,20624,93,0.6526878416076963
T::19,T,19,24639,93,0.2410075161295686
D::5,D,5,48826,94,0.16194919525721013
F::11,F,11,2808,94,0.2792976684501635
C::5,C,5,76589,95,0.5179382726777122
C::6,C,6,28094,95,0.5777416533779849
F::10,F,10,6549,95,0.1858072551433222
F::12,F,12,8114,95,0.6284841544476796
D::10,D,10,33225.36851275695,96,0.13898817968790084
D::14,D,14,64560,96,0.6480719903639031
F::1,F,1,24226,96,0.759535580085574
T::12,T,12,9389.768776764116,96,0.11973189143368516
R::1,R,1,66589,97,0.8583639732144382
T::20,T,20,51311,97,0.2703047284794813
C::**,C,**,192612,98,0.5860675776627428
I::1,I,1,54604,98,0.19185671404358848
T::21,T,21,6115,98,0.12795163775706095
T::32,T,32,41008,98,0.6353304032939878
D::13,D,13,135754,99,0.6786570062769215
I::4,I,4,49732,99,0.23160823067196745
T::16,T,16,43021,99,0.21907430885414927
D::12,D,12,314092,100,0.6988736457433031
T::10,T,10,11423,100,0.24154461102253647
T::6,T,6,8833,100,0.16897554706330933
YP::**,YP,**,47077,100,0.1940879289533877
V::**,V,**,425997,101,0.5661693339726095
P::1,P,1,111045.99999999999,102,0.673530382542867
T::30,T,30,68380,102,0.19402944039451503
T::9,T,9,16889,102,0.18322395570409195
G::2,G,2,37357,103,0.3588189986105683
G::6,G,6,121045,103,0.25102982314015115
P::3,P,3,167475,103,0.3088583699153079
P::6,P,6,38765,103,0.2735285484295559
T::18,T,18,79742,103,0.199062968562849
T::4,T,4,48705,103,0.2098862156120324
X::**,X,**,214198,103,0.18838951004056168
F::16,F,16,117230,105,0.18432761185215035
