truth_key,CLASS,SUBCLASS,n_parcel_years_row,n_codes_gt0,max_share
F::**,F,**,1,1,1
P::5,P,5,2,2,0.5
P::**,P,**,10,5,0.6
F::5,F,5,774,12,0.9496124031007752
C::10,C,10,1709,15,0.8683440608543007
D::**,D,**,44,19,0.18181818181818182
T::**,T,**,286,22,0.2762237762237762
D::2,D,2,1476,27,0.38685636856368566
D::17,D,17,1043,30,0.3537871524448706
P::4,P,4,17795,34,0.24754144422590615
D::8,D,8,7672,35,0.3574035453597497
D::7,D,7,15663,38,0.6898423035178446
P::7,P,7,2072,47,0.39285714285714285
R::2,R,2,3389,47,0.22514015933903805
C::8,C,8,3346,49,0.6356843992827257
T::13,T,13,4782,50,0.349017147636972
G::**,G,**,1001,51,0.2007992007992008
C::4,C,4,7796,56,0.5929964084145716
C::7,C,7,4976,62,0.2602491961414791
D::15,D,15,5429,62,0.6927610978080678
D::6,D,6,5105,62,0.7408423114593535
F::2,F,2,6036,64,0.5487077534791253
T::27,T,27,7423,66,0.23629260406843594
D::1,D,1,9598,67,0.6033548655969994
R::**,R,**,4356,68,0.1561065197428834
T::21,T,21,6115,70,0.13409648405560098
F::12,F,12,8114,72,0.6840029578506286
D::3,D,3,20624,73,0.7076706749418153
R::1,R,1,66589,74,0.8859271050774152
F::11,F,11,2808,75,0.31160968660968663
I::4,I,4,49732,75,0.27559720099734575
F::10,F,10,6549,76,0.21423118033287525
T::10,T,10,11423,76,0.274884005952902
T::12,T,12,9805,76,0.1312595614482407
C::5,C,5,76589,77,0.5971484155688154
F::1,F,1,24226,78,0.8162304961611492
T::6,T,6,8833,78,0.195743235593796
C::6,C,6,28094,79,0.6511710685555635
D::5,D,5,48826,79,0.21654446401507393
I::1,I,1,54604,80,0.22610065196688886
T::19,T,19,24639,80,0.31608425666626083
T::32,T,32,41008,80,0.6995708154506438
D::10,D,10,36410,81,0.16462510299368305
D::14,D,14,64560,81,0.688909541511772
P::6,P,6,38765,82,0.2971494905197988
T::16,T,16,43021,82,0.2584319285930127
T::20,T,20,51311,82,0.34119389604568223
YP::**,YP,**,47077,83,0.21050619198334644
T::9,T,9,16889,85,0.21611699923026823
G::2,G,2,37357,86,0.4148620071204861
D::12,D,12,314092,87,0.7615889611960827
D::13,D,13,135754,87,0.7464457769200171
T::4,T,4,48705,87,0.2957807206652294
C::**,C,**,192612,88,0.6442589246775902
P::1,P,1,111046,89,0.7399996397889163
P::3,P,3,167475,89,0.361486789072996
T::30,T,30,68380,89,0.28250950570342204
V::**,V,**,425997,89,0.6301757993600894
G::6,G,6,121045,90,0.30018588128382007
X::**,X,**,214198,91,0.2051653143353346
F::16,F,16,117230,94,0.20276379766271432
T::18,T,18,79742,94,0.25208798374758595
