year,metric,source,n,pct
2016,subclass_source,OBSERVED,315412,74.43
2016,subclass_source,vineyard_fallback,72424,17.09
2016,subclass_source,emission_cdl,33606,7.93
2016,subclass_source,plurality,1714,0.4
2016,subclass_source,(missing),619,0.15
2017,subclass_source,plurality,271255,65.49
2017,subclass_source,vineyard_fallback,97484,23.54
2017,subclass_source,emission_cdl,35896,8.67
2017,subclass_source,unfilled,9547,2.31
2018,subclass_source,OBSERVED,334205,78.86
2018,subclass_source,vineyard_fallback,62968,14.86
2018,subclass_source,emission_cdl,24377,5.75
2018,subclass_source,plurality,2225,0.53
2019,subclass_source,OBSERVED,334215,78.87
2019,subclass_source,vineyard_fallback,62605,14.77
2019,subclass_source,emission_cdl,25144,5.93
2019,subclass_source,plurality,1811,0.43
2020,subclass_source,OBSERVED,337658,79.68
2020,subclass_source,vineyard_fallback,58880,13.89
2020,subclass_source,emission_cdl,25418,6
2020,subclass_source,plurality,1819,0.43
2021,subclass_source,OBSERVED,339630,80.14
2021,subclass_source,vineyard_fallback,57367,13.54
2021,subclass_source,emission_cdl,25013,5.9
2021,subclass_source,plurality,1765,0.42
2022,subclass_source,OBSERVED,340182,80.27
2022,subclass_source,vineyard_fallback,56054,13.23
2022,subclass_source,emission_cdl,25757,6.08
2022,subclass_source,plurality,1782,0.42
2023,subclass_source,OBSERVED,340197,80.28
2023,subclass_source,vineyard_fallback,55699,13.14
2023,subclass_source,emission_cdl,26071,6.15
2023,subclass_source,plurality,1808,0.43
2016,adoy_source,statewide_class_subclass,376586,88.86
2016,adoy_source,not_applicable,40435,9.54
2016,adoy_source,temporal_neighbor,3694,0.87
2016,adoy_source,unfilled,2978,0.7
2016,adoy_source,statewide_class,82,0.02
2017,adoy_source,county_class_subclass,330609,79.82
2017,adoy_source,county_class,56489,13.64
2017,adoy_source,statewide_class_subclass,19798,4.78
2017,adoy_source,not_applicable,7175,1.73
2017,adoy_source,statewide_class,111,0.03
2018,adoy_source,county_class_subclass,243760,57.52
2018,adoy_source,OBSERVED,113278,26.73
2018,adoy_source,not_applicable,39592,9.34
2018,adoy_source,county_class,15432,3.64
2018,adoy_source,unfilled,6663,1.57
2018,adoy_source,statewide_class_subclass,4932,1.16
2018,adoy_source,statewide_class,118,0.03
2019,adoy_source,county_class_subclass,250625,59.14
2019,adoy_source,OBSERVED,110044,25.97
2019,adoy_source,not_applicable,34184,8.07
2019,adoy_source,county_class,17236,4.07
2019,adoy_source,unfilled,6815,1.61
2019,adoy_source,statewide_class_subclass,4631,1.09
2019,adoy_source,statewide_class,240,0.06
2020,adoy_source,county_class_subclass,255563,60.31
2020,adoy_source,OBSERVED,94901,22.39
2020,adoy_source,not_applicable,46126,10.88
2020,adoy_source,county_class,15894,3.75
2020,adoy_source,unfilled,6887,1.63
2020,adoy_source,statewide_class_subclass,4293,1.01
2020,adoy_source,statewide_class,111,0.03
2021,adoy_source,county_class_subclass,247216,58.34
2021,adoy_source,OBSERVED,93921,22.16
2021,adoy_source,not_applicable,54213,12.79
2021,adoy_source,county_class,17411,4.11
2021,adoy_source,unfilled,7043,1.66
2021,adoy_source,statewide_class_subclass,3802,0.9
2021,adoy_source,statewide_class,169,0.04
2022,adoy_source,county_class_subclass,240382,56.72
2022,adoy_source,OBSERVED,99001,23.36
2022,adoy_source,not_applicable,56012,13.22
2022,adoy_source,county_class,16475,3.89
2022,adoy_source,unfilled,7413,1.75
2022,adoy_source,statewide_class_subclass,4315,1.02
2022,adoy_source,statewide_class,177,0.04
2023,adoy_source,county_class_subclass,236287,55.76
2023,adoy_source,OBSERVED,111246,26.25
2023,adoy_source,not_applicable,47972,11.32
2023,adoy_source,county_class,17137,4.04
2023,adoy_source,unfilled,7427,1.75
2023,adoy_source,statewide_class_subclass,3609,0.85
2023,adoy_source,statewide_class,97,0.02
