year,CLASS,SUBCLASS,subclass_source,n,pct_of_gapfilled,pct_of_season2
2016,V,2,vineyard_fallback,72424,66.83,17.09
2016,C,5,emission_cdl,28506,26.31,6.73
2016,R,1,emission_cdl,4053,3.74,0.96
2016,C,5,plurality,860,0.79,0.2
2016,G,6,emission_cdl,740,0.68,0.17
2016,(missing),**,NA,619,0.57,0.15
2016,C,6,plurality,309,0.29,0.07
2016,R,2,emission_cdl,159,0.15,0.04
2016,R,1,plurality,139,0.13,0.03
2016,C,4,plurality,107,0.1,0.03
2016,G,6,plurality,102,0.09,0.02
2016,C,7,plurality,74,0.07,0.02
2016,C,4,emission_cdl,66,0.06,0.02
2016,C,8,plurality,45,0.04,0.01
2016,G,2,plurality,32,0.03,0.01
2016,C,10,plurality,27,0.02,0.01
2016,C,6,emission_cdl,25,0.02,0.01
2016,D,12,emission_cdl,23,0.02,0.01
2016,G,2,emission_cdl,15,0.01,0
2016,C,8,emission_cdl,13,0.01,0
2016,D,12,plurality,8,0.01,0
2016,R,2,plurality,5,0,0
2016,D,13,emission_cdl,4,0,0
2016,D,13,plurality,3,0,0
2016,C,7,emission_cdl,2,0,0
2016,D,10,plurality,1,0,0
2016,D,14,plurality,1,0,0
2016,D,16,plurality,1,0,0
2017,V,2,vineyard_fallback,97484,23.54,23.54
2017,D,12,plurality,46852,11.31,11.31
2017,C,5,emission_cdl,31105,7.51,7.51
2017,P,3,plurality,30609,7.39,7.39
2017,P,1,plurality,23987,5.79,5.79
2017,D,13,plurality,22871,5.52,5.52
2017,C,5,plurality,13146,3.17,3.17
2017,F,16,plurality,12435,3,3
2017,R,1,plurality,11087,2.68,2.68
2017,T,18,plurality,9377,2.26,2.26
2017,D,14,plurality,8788,2.12,2.12
2017,D,5,plurality,8604,2.08,2.08
2017,P,6,plurality,6799,1.64,1.64
2017,G,6,plurality,6700,1.62,1.62
2017,X,**,unfilled,6674,1.61,1.61
2017,T,16,plurality,6037,1.46,1.46
2017,C,6,plurality,5854,1.41,1.41
2017,T,30,plurality,5816,1.4,1.4
2017,T,20,plurality,5530,1.34,1.34
2017,D,16,plurality,5471,1.32,1.32
2017,T,32,plurality,4594,1.11,1.11
2017,T,4,plurality,3981,0.96,0.96
2017,F,1,plurality,3847,0.93,0.93
2017,D,3,plurality,3258,0.79,0.79
2017,D,10,plurality,3080,0.74,0.74
2017,YP,**,unfilled,2873,0.69,0.69
2017,T,19,plurality,2852,0.69,0.69
2017,G,2,plurality,2355,0.57,0.57
2017,P,4,plurality,1847,0.45,0.45
2017,T,9,plurality,1782,0.43,0.43
2017,D,1,plurality,1492,0.36,0.36
2017,C,7,plurality,1266,0.31,0.31
2017,C,4,plurality,1136,0.27,0.27
2017,T,31,plurality,1128,0.27,0.27
2017,T,10,plurality,992,0.24,0.24
2017,T,6,plurality,941,0.23,0.23
2017,R,1,emission_cdl,897,0.22,0.22
2017,D,15,plurality,895,0.22,0.22
2017,G,6,emission_cdl,851,0.21,0.21
2017,D,6,plurality,842,0.2,0.2
2017,T,27,plurality,830,0.2,0.2
2017,D,12,emission_cdl,728,0.18,0.18
2017,T,21,plurality,636,0.15,0.15
2017,F,10,plurality,599,0.14,0.14
2017,C,8,plurality,585,0.14,0.14
2017,D,8,plurality,478,0.12,0.12
2017,F,2,plurality,451,0.11,0.11
2017,R,2,plurality,429,0.1,0.1
2017,F,12,plurality,418,0.1,0.1
2017,T,16,emission_cdl,342,0.08,0.08
2017,T,18,emission_cdl,327,0.08,0.08
2017,I,4,emission_cdl,320,0.08,0.08
2017,P,1,emission_cdl,260,0.06,0.06
2017,C,10,plurality,210,0.05,0.05
2017,F,16,emission_cdl,191,0.05,0.05
2017,G,2,emission_cdl,153,0.04,0.04
2017,F,11,plurality,143,0.03,0.03
2017,C,6,emission_cdl,133,0.03,0.03
2017,F,1,emission_cdl,105,0.03,0.03
2017,I,1,plurality,98,0.02,0.02
2017,C,4,emission_cdl,85,0.02,0.02
2017,P,3,emission_cdl,66,0.02,0.02
2017,T,30,emission_cdl,62,0.01,0.01
2017,D,13,emission_cdl,49,0.01,0.01
2017,I,1,emission_cdl,46,0.01,0.01
2017,I,4,plurality,37,0.01,0.01
2017,R,2,emission_cdl,37,0.01,0.01
2017,C,8,emission_cdl,36,0.01,0.01
2017,D,7,plurality,33,0.01,0.01
2017,F,12,emission_cdl,28,0.01,0.01
2017,T,32,emission_cdl,25,0.01,0.01
2017,F,2,emission_cdl,19,0,0
2017,D,14,emission_cdl,17,0,0
2017,P,7,plurality,17,0,0
2017,T,12,plurality,17,0,0
2017,D,17,plurality,13,0,0
2017,T,13,plurality,7,0,0
2017,T,10,emission_cdl,5,0,0
2017,D,2,plurality,3,0,0
2017,D,3,emission_cdl,3,0,0
2017,D,15,emission_cdl,1,0,0
2017,D,6,emission_cdl,1,0,0
2017,F,11,emission_cdl,1,0,0
2017,T,12,emission_cdl,1,0,0
2017,T,27,emission_cdl,1,0,0
2017,T,9,emission_cdl,1,0,0
2018,V,2,vineyard_fallback,62968,70.3,14.86
2018,C,5,emission_cdl,23737,26.5,5.6
