metric,type,col,landiq_CLASS,intercept,slope_adoy,n
OGI,date,mslsp_OGI,F,41.3297853095869,0.504602461391947,143852
OGI,date,mslsp_OGI,G,-28.3522495644495,0.499896191636477,202975
OGI,date,mslsp_OGI,P,37.887683277535,0.170780976660808,55979
OGI,date,mslsp_OGI,R,63.6968243777762,0.408004676802747,60361
OGI,date,mslsp_OGI,T,112.246593536893,0.0537349372286684,399082
50PCGI,date,mslsp_50PCGI,F,65.2416040765069,0.493390407233477,143852
50PCGI,date,mslsp_50PCGI,G,-3.86916655938751,0.540704458660354,202975
50PCGI,date,mslsp_50PCGI,P,69.3157979778229,0.168979805962053,55979
50PCGI,date,mslsp_50PCGI,R,68.7254450770719,0.485570993180673,60361
50PCGI,date,mslsp_50PCGI,T,135.585723054588,0.0600011696470801,399082
OGMx,date,mslsp_OGMx,F,90.0288887280599,0.47948682081001,143852
OGMx,date,mslsp_OGMx,G,30.1190113349288,0.515426581706642,202975
OGMx,date,mslsp_OGMx,P,106.96718238485,0.173968463192224,55979
OGMx,date,mslsp_OGMx,R,50.9021873236588,0.693758563820815,60361
OGMx,date,mslsp_OGMx,T,159.505725261009,0.061969507209966,399082
Peak,date,mslsp_Peak,F,108.689937254369,0.462934535468321,143852
Peak,date,mslsp_Peak,G,54.4173947190746,0.467475137932723,202975
Peak,date,mslsp_Peak,P,127.67877702874,0.178198139555448,55979
Peak,date,mslsp_Peak,R,54.3735944435951,0.784350383891997,60361
Peak,date,mslsp_Peak,T,173.594147937931,0.0671506901648513,399082
OGD,date,mslsp_OGD,F,127.234835731158,0.453567802336124,143852
OGD,date,mslsp_OGD,G,77.4961275248811,0.407765017161694,202975
OGD,date,mslsp_OGD,P,147.450285210601,0.179231354844262,55979
OGD,date,mslsp_OGD,R,104.975537235749,0.660252869237496,60361
OGD,date,mslsp_OGD,T,186.874941953614,0.0756324218393161,399082
50PCGD,date,mslsp_50PCGD,F,155.518225150696,0.440388349433562,143852
50PCGD,date,mslsp_50PCGD,G,105.066559291104,0.369718963256489,202975
50PCGD,date,mslsp_50PCGD,P,187.474634650798,0.183402690337061,55979
50PCGD,date,mslsp_50PCGD,R,163.432999334243,0.517321670959376,60361
50PCGD,date,mslsp_50PCGD,T,208.000365712252,0.0822030640744345,399082
OGMn,date,mslsp_OGMn,F,186.16608163717,0.411027157623209,143852
OGMn,date,mslsp_OGMn,G,121.466813099161,0.514977046807474,202975
OGMn,date,mslsp_OGMn,P,223.373960724263,0.198613791210505,55979
OGMn,date,mslsp_OGMn,R,191.868354825022,0.498895560500245,60361
OGMn,date,mslsp_OGMn,T,229.454260144773,0.0853042530273172,399082
EVImax,evi,mslsp_EVImax,F,0.607668729254948,-6.14518443100565e-05,143852
EVImax,evi,mslsp_EVImax,G,0.673962593925696,-0.000775935625582314,202975
EVImax,evi,mslsp_EVImax,P,0.514481431831468,0.00024767839064388,55979
EVImax,evi,mslsp_EVImax,R,0.806824005823275,-0.000845940471175921,60361
EVImax,evi,mslsp_EVImax,T,0.507407458918856,0.000187307221964916,399082
EVIamp,evi,mslsp_EVIamp,F,0.518784878135635,-0.000115527718122066,143852
EVIamp,evi,mslsp_EVIamp,G,0.552966913870258,-0.000651532779707531,202975
EVIamp,evi,mslsp_EVIamp,P,0.317222140924519,0.000352615985729443,55979
EVIamp,evi,mslsp_EVIamp,R,0.748942139187253,-0.00093610290918178,60361
EVIamp,evi,mslsp_EVIamp,T,0.414815574782629,0.000199842821455798,399082
EVIarea,evi,mslsp_EVIarea,F,72.8981152659734,-0.0550468566509181,143852
EVIarea,evi,mslsp_EVIarea,G,86.6745997932454,-0.108788452480155,202975
EVIarea,evi,mslsp_EVIarea,P,90.0797563140813,0.0375652581829797,55979
EVIarea,evi,mslsp_EVIarea,R,92.3406766463362,-0.079601878443782,60361
EVIarea,evi,mslsp_EVIarea,T,49.9822829664353,0.0353237806769258,399082
