metric,landiq_CLASS,y_mean,n
OGI,D,48.8015602821742,562206
OGI,G,11.3502263849432,225280
OGI,F,142.004805231149,146507
OGI,T,111.962141069939,470008
OGI,C,22.7805615811645,198689
OGI,YP,54.2709763185556,32346
OGI,V,26.9757928412726,351962
OGI,P,45.8322177045291,289971
OGI,R,148.351442933081,62269
50PCGI,D,77.0416893451866,562206
50PCGI,G,39.0783336292614,225280
50PCGI,F,163.716286593815,146507
50PCGI,T,137.803318241392,470008
50PCGI,C,62.8917302920645,198689
50PCGI,YP,87.2302293946701,32346
50PCGI,V,59.1205954051858,351962
50PCGI,P,76.7343975776888,289971
50PCGI,R,169.592590213429,62269
OGMx,D,110.551397530443,562206
OGMx,G,71.1641068892046,225280
OGMx,F,185.756591835202,146507
OGMx,T,164.583598577046,470008
OGMx,C,102.297822224683,198689
OGMx,YP,121.721634823471,32346
OGMx,V,95.0712974696132,351962
OGMx,P,115.276434540006,289971
OGMx,R,194.86787968331,62269
Peak,D,136.337424360466,562206
Peak,G,91.6905939275568,225280
Peak,F,201.110267768776,146507
Peak,T,180.775459141121,470008
Peak,C,123.286060124114,198689
Peak,YP,140.803283249861,32346
Peak,V,116.305101118871,351962
Peak,P,136.180693931462,289971
Peak,R,216.878992757231,62269
OGD,D,164.811414321441,562206
OGD,G,110.144056285511,225280
OGD,F,217.792044066154,146507
OGD,T,196.584056016068,470008
OGD,C,143.883546648279,198689
OGD,YP,158.742193779756,32346
OGD,V,137.971224166245,351962
OGD,P,155.520231333478,289971
OGD,R,241.354173023495,62269
50PCGD,D,226.14560854918,562206
50PCGD,G,135.025998757102,225280
50PCGD,F,243.47690554035,146507
50PCGD,T,220.895071998774,470008
50PCGD,C,186.886531212095,198689
50PCGD,YP,195.408489457738,32346
50PCGD,V,184.21738710429,351962
50PCGD,P,198.059802531977,289971
50PCGD,R,270.045640687983,62269
OGMn,D,268.669861225245,562206
OGMn,G,163.530712890625,225280
OGMn,F,268.394479444668,146507
OGMn,T,244.382278599513,470008
OGMn,C,233.071845950204,198689
OGMn,YP,232.241111729426,32346
OGMn,V,223.076692938442,351962
OGMn,P,235.191074279842,289971
OGMn,R,295.17186722125,62269
EVImax,D,0.434168614796686,562206
EVImax,G,0.608749740070998,225280
EVImax,F,0.595004464716096,146507
EVImax,T,0.511443645328886,470008
EVImax,C,0.428610028712203,198689
EVImax,YP,0.311124387749335,32346
EVImax,V,0.429447516581541,351962
EVImax,P,0.568140824273922,289971
EVImax,R,0.626867723997696,62269
EVIamp,D,0.255497319979499,562206
EVIamp,G,0.496056828402992,225280
EVIamp,F,0.495433943646957,146507
EVIamp,T,0.415473625401342,470008
EVIamp,C,0.137206980478251,198689
EVIamp,YP,0.179302042539368,32346
EVIamp,V,0.254014487830829,351962
EVIamp,P,0.33992207686141,289971
EVIamp,R,0.550579697704511,62269
EVIarea,D,92.6805735939862,562206
EVIarea,G,78.562619567622,225280
EVIarea,F,61.9606155250831,146507
EVIarea,T,57.3624827086888,470008
EVIarea,C,100.245877545748,198689
EVIarea,YP,58.6198907869136,32346
EVIarea,V,80.159459074874,351962
EVIarea,P,101.028016312111,289971
EVIarea,R,75.0858698709454,62269
