metric,landiq_CLASS,landiq_PFT,y_mean,n
OGI,D,woody,48.8015602821742,562206
OGI,G,row,11.3502263849432,225280
OGI,F,row,142.004805231149,146507
OGI,T,row,113.738198656231,449631
OGI,C,woody,22.7805615811645,198689
OGI,YP,woody,54.2709763185556,32346
OGI,V,woody,26.9757928412726,351962
OGI,P,hay,45.8322177045291,289971
OGI,R,rice,148.351442933081,62269
OGI,T,woody,72.7723413652648,20377
50PCGI,D,woody,77.0416893451866,562206
50PCGI,G,row,39.0783336292614,225280
50PCGI,F,row,163.716286593815,146507
50PCGI,T,row,139.225633908694,449631
50PCGI,C,woody,62.8917302920645,198689
50PCGI,YP,woody,87.2302293946701,32346
50PCGI,V,woody,59.1205954051858,351962
50PCGI,P,hay,76.7343975776888,289971
50PCGI,R,rice,169.592590213429,62269
50PCGI,T,woody,106.41905089071,20377
OGMx,D,woody,110.551397530443,562206
OGMx,G,row,71.1641068892046,225280
OGMx,F,row,185.756591835202,146507
OGMx,T,row,165.465748580503,449631
OGMx,C,woody,102.297822224683,198689
OGMx,YP,woody,121.721634823471,32346
OGMx,V,woody,95.0712974696132,351962
OGMx,P,hay,115.276434540006,289971
OGMx,R,rice,194.86787968331,62269
OGMx,T,woody,145.118417824017,20377
Peak,D,woody,136.337424360466,562206
Peak,G,row,91.6905939275568,225280
Peak,F,row,201.110267768776,146507
Peak,T,row,181.416147907951,449631
Peak,C,woody,123.286060124114,198689
Peak,YP,woody,140.803283249861,32346
Peak,V,woody,116.305101118871,351962
Peak,P,hay,136.180693931462,289971
Peak,R,rice,216.878992757231,62269
Peak,T,woody,166.638268636208,20377
OGD,D,woody,164.811414321441,562206
OGD,G,row,110.144056285511,225280
OGD,F,row,217.792044066154,146507
OGD,T,row,196.989836110055,449631
OGD,C,woody,143.883546648279,198689
OGD,YP,woody,158.742193779756,32346
OGD,V,woody,137.971224166245,351962
OGD,P,hay,155.520231333478,289971
OGD,R,rice,241.354173023495,62269
OGD,T,woody,187.630269421407,20377
50PCGD,D,woody,226.14560854918,562206
50PCGD,G,row,135.025998757102,225280
50PCGD,F,row,243.47690554035,146507
50PCGD,T,row,220.48167942157,449631
50PCGD,C,woody,186.886531212095,198689
50PCGD,YP,woody,195.408489457738,32346
50PCGD,V,woody,184.21738710429,351962
50PCGD,P,hay,198.059802531977,289971
50PCGD,R,rice,270.045640687983,62269
50PCGD,T,woody,230.016832703538,20377
OGMn,D,woody,268.669861225245,562206
OGMn,G,row,163.530712890625,225280
OGMn,F,row,268.394479444668,146507
OGMn,T,row,243.260242287565,449631
OGMn,C,woody,233.071845950204,198689
OGMn,YP,woody,232.241111729426,32346
OGMn,V,woody,223.076692938442,351962
OGMn,P,hay,235.191074279842,289971
OGMn,R,rice,295.17186722125,62269
OGMn,T,woody,269.14069784561,20377
EVImax,D,woody,0.434168614796686,562206
EVImax,G,row,0.608749740070998,225280
EVImax,F,row,0.595004464716096,146507
EVImax,T,row,0.518465101708863,449631
EVImax,C,woody,0.428610028712203,198689
EVImax,YP,woody,0.311124387749335,32346
EVImax,V,woody,0.429447516581541,351962
EVImax,P,hay,0.568140824273922,289971
EVImax,R,rice,0.626867723997696,62269
EVImax,T,woody,0.35651090480845,20377
EVIamp,D,woody,0.255497319979499,562206
EVIamp,G,row,0.496056828402992,225280
EVIamp,F,row,0.495433943646957,146507
EVIamp,T,row,0.42463154649647,449631
EVIamp,C,woody,0.137206980478251,198689
EVIamp,YP,woody,0.179302042539368,32346
EVIamp,V,woody,0.254014487830829,351962
EVIamp,P,hay,0.33992207686141,289971
EVIamp,R,rice,0.550579697704511,62269
EVIamp,T,woody,0.21339848087943,20377
EVIarea,D,woody,92.6805735939862,562206
EVIarea,G,row,78.562619567622,225280
EVIarea,F,row,61.9606155250831,146507
EVIarea,T,row,56.9036806824695,449631
EVIarea,C,woody,100.245877545748,198689
EVIarea,YP,woody,58.6198907869136,32346
EVIarea,V,woody,80.159459074874,351962
EVIarea,P,hay,101.028016312111,289971
EVIarea,R,rice,75.0858698709454,62269
EVIarea,T,woody,67.4862307506547,20377
