metric,landiq_CLASS,landiq_SUBCLASS,landiq_PFT,y_mean,n
OGI,D,12,woody,43.9696365604928,273388
OGI,G,6,row,13.8041994286148,158212
OGI,F,16,row,148.660854920049,104501
OGI,T,30,row,134.572841226938,106183
OGI,C,5,woody,23.5345201910551,161210
OGI,YP,**,woody,54.2709763185556,32346
OGI,V,2,woody,26.9757928412726,351962
OGI,P,3,hay,31.7424466602337,139905
OGI,F,12,row,125.315485416373,7097
OGI,T,4,row,123.176406465355,79810
OGI,T,18,row,104.924436568521,88032
OGI,D,13,woody,51.4249546225362,117349
OGI,P,1,hay,49.5794804279317,96464
OGI,R,1,rice,148.483791657545,59383
OGI,D,16,woody,42.0467536274366,13646
OGI,D,10,woody,35.1177676871247,13654
OGI,T,16,row,60.4126081249369,29711
OGI,D,14,woody,62.538807243766,52735
OGI,G,2,row,5.5203962877861,67022
OGI,T,32,row,136.506591653371,35727
OGI,T,10,row,62.5565399637992,10497
OGI,F,2,row,95.1899104012466,5134
OGI,D,3,woody,54.4029065110425,17478
OGI,T,20,row,90.4298376051653,51110
OGI,P,6,hay,74.6673073511148,33818
OGI,F,1,row,145.720478762225,20553
OGI,C,4,woody,65.8669859416036,6473
OGI,T,6,row,77.7358770535241,9435
OGI,D,6,woody,64.9403910348116,4194
OGI,C,6,woody,-0.0413628589431992,22218
OGI,D,5,woody,63.3788875237889,41511
OGI,T,31,row,131.208853386587,6009
OGI,C,7,woody,15.5096870342772,4026
OGI,T,21,row,137.60222554393,6021
OGI,T,9,row,150.689577984067,15189
OGI,P,4,hay,81.8713793687539,17711
OGI,D,1,woody,28.4315464712688,7779
OGI,D,15,woody,58.9443426477325,4366
OGI,T,19,woody,72.7723413652648,20377
OGI,F,10,row,141.354694485842,5368
OGI,R,2,rice,145.628205128205,2886
OGI,T,27,row,60.0457796852647,5592
OGI,F,11,row,60.8750438750439,2849
OGI,C,8,woody,66.2971849008317,3126
OGI,T,**,row,147.015151515152,66
OGI,G,**,row,65.2391304347826,46
OGI,T,12,row,107.51943597561,2624
OGI,D,8,woody,28.9706151234165,7657
OGI,C,10,woody,22.2116564417178,1630
OGI,P,7,hay,43.9492998551424,2071
OGI,D,7,woody,59.3190091001011,5934
OGI,T,13,row,156.201655172414,3625
OGI,D,17,woody,50.0459770114943,1044
OGI,D,2,woody,48.3412644459551,1471
OGI,F,5,row,-35.8127490039841,1004
50PCGI,D,12,woody,69.7401129530192,273388
50PCGI,G,6,row,41.6537430789068,158212
50PCGI,F,16,row,168.341221615104,104501
50PCGI,T,30,row,153.842988048934,106183
50PCGI,C,5,woody,63.5590472055084,161210
50PCGI,YP,**,woody,87.2302293946701,32346
50PCGI,V,2,woody,59.1205954051858,351962
50PCGI,P,3,hay,67.2873592795111,139905
50PCGI,F,12,row,150.685923629703,7097
50PCGI,T,4,row,144.546861295577,79810
50PCGI,T,18,row,131.384825972374,88032
50PCGI,D,13,woody,83.0903544129051,117349
50PCGI,P,1,hay,75.3533442527782,96464
50PCGI,R,1,rice,169.617247360356,59383
50PCGI,D,16,woody,72.7668913967463,13646
50PCGI,D,10,woody,67.4584004687271,13654
50PCGI,T,16,row,96.6752381272929,29711
50PCGI,D,14,woody,89.7547549066085,52735
50PCGI,G,2,row,32.9643699083883,67022
50PCGI,T,32,row,158.887899907633,35727
50PCGI,T,10,row,98.8037534533676,10497
50PCGI,F,2,row,124.157382158161,5134
50PCGI,D,3,woody,83.2222222222222,17478
50PCGI,T,20,row,129.374310311094,51110
50PCGI,P,6,hay,101.631734579218,33818
50PCGI,F,1,row,172.868486352357,20553
50PCGI,C,4,woody,106.312683454349,6473
50PCGI,T,6,row,103.460731319555,9435
50PCGI,D,6,woody,98.1828803051979,4194
50PCGI,C,6,woody,41.2334143487263,22218
50PCGI,D,5,woody,94.868902218689,41511
50PCGI,T,31,row,151.242968880013,6009
50PCGI,C,7,woody,55.7853949329359,4026
50PCGI,T,21,row,161.512871616011,6021
50PCGI,T,9,row,170.835868062414,15189
50PCGI,P,4,hay,111.670826040314,17711
50PCGI,D,1,woody,61.1775292454043,7779
50PCGI,D,15,woody,89.0185524507558,4366
50PCGI,T,19,woody,106.41905089071,20377
50PCGI,F,10,row,165.127235469449,5368
50PCGI,R,2,rice,169.085239085239,2886
50PCGI,T,27,row,95.1691702432046,5592
50PCGI,F,11,row,90.2902772902773,2849
50PCGI,C,8,woody,96.5262316058861,3126
50PCGI,T,**,row,170.909090909091,66
50PCGI,G,**,row,89.2826086956522,46
50PCGI,T,12,row,126.35137195122,2624
50PCGI,D,8,woody,60.8896434634975,7657
50PCGI,C,10,woody,72.3171779141104,1630
50PCGI,P,7,hay,73.8237566393047,2071
50PCGI,D,7,woody,86.907482305359,5934
50PCGI,T,13,row,175.627310344828,3625
50PCGI,D,17,woody,82.5421455938697,1044
50PCGI,D,2,woody,76.3011556764106,1471
50PCGI,F,5,row,-9.82270916334661,1004
OGMx,D,12,woody,100.378571846606,273388
OGMx,G,6,row,73.33810962506,158212
OGMx,F,16,row,188.473249059818,104501
OGMx,T,30,row,171.373958166562,106183
OGMx,C,5,woody,102.305371875194,161210
OGMx,YP,**,woody,121.721634823471,32346
OGMx,V,2,woody,95.0712974696132,351962
OGMx,P,3,hay,109.213966620207,139905
OGMx,F,12,row,170.428772720868,7097
OGMx,T,4,row,166.305876456584,79810
OGMx,T,18,row,158.085139494729,88032
OGMx,D,13,woody,114.614295818456,117349
OGMx,P,1,hay,111.136983745231,96464
OGMx,R,1,rice,195.20857821262,59383
OGMx,D,16,woody,113.01055254287,13646
OGMx,D,10,woody,105.519481470631,13654
OGMx,T,16,row,136.676449799737,29711
OGMx,D,14,woody,122.898909642552,52735
OGMx,G,2,row,66.005102802065,67022
OGMx,T,32,row,181.099336636158,35727
OGMx,T,10,row,127.590930742117,10497
OGMx,F,2,row,146.795675886249,5134
OGMx,D,3,woody,120.409886714727,17478
OGMx,T,20,row,175.167168851497,51110
OGMx,P,6,hay,136.625317878053,33818
OGMx,F,1,row,202.276796574709,20553
OGMx,C,4,woody,149.041248262011,6473
OGMx,T,6,row,134.240381558029,9435
OGMx,D,6,woody,142.175727229375,4194
OGMx,C,6,woody,83.8284724097579,22218
OGMx,D,5,woody,141.774686227747,41511
OGMx,T,31,row,171.889499084706,6009
OGMx,C,7,woody,97.406607054148,4026
OGMx,T,21,row,191.514200298954,6021
OGMx,T,9,row,189.475607347422,15189
OGMx,P,4,hay,144.716447405567,17711
OGMx,D,1,woody,101.900629901016,7779
OGMx,D,15,woody,138.809665597801,4366
OGMx,T,19,woody,145.118417824017,20377
OGMx,F,10,row,186.252049180328,5368
OGMx,R,2,rice,187.857588357588,2886
OGMx,T,27,row,134.151645207439,5592
OGMx,F,11,row,125.067392067392,2849
OGMx,C,8,woody,133.162188099808,3126
OGMx,T,**,row,193.621212121212,66
OGMx,G,**,row,110.586956521739,46
OGMx,T,12,row,144.705792682927,2624
OGMx,D,8,woody,98.350398328327,7657
OGMx,C,10,woody,120.226380368098,1630
OGMx,P,7,hay,117.167069048769,2071
OGMx,D,7,woody,128.75429726997,5934
OGMx,T,13,row,197.490482758621,3625
OGMx,D,17,woody,119.947318007663,1044
OGMx,D,2,woody,115.188307273963,1471
OGMx,F,5,row,41.953187250996,1004
Peak,D,12,woody,126.34534068796,273388
Peak,G,6,row,93.1197570348646,158212
Peak,F,16,row,202.453172696912,104501
Peak,T,30,row,181.397323488694,106183
Peak,C,5,woody,123.107319645183,161210
Peak,YP,**,woody,140.803283249861,32346
Peak,V,2,woody,116.305101118871,351962
Peak,P,3,hay,130.964490189772,139905
Peak,F,12,row,183.123432436241,7097
Peak,T,4,row,180.177697030447,79810
Peak,T,18,row,173.470317611778,88032
Peak,D,13,woody,136.365439841839,117349
Peak,P,1,hay,130.906908276663,96464
Peak,R,1,rice,217.70670057087,59383
Peak,D,16,woody,140.787043822366,13646
Peak,D,10,woody,129.902446169621,13654
Peak,T,16,row,157.821379287133,29711
Peak,D,14,woody,150.582554280838,52735
Peak,G,2,row,88.2946793590165,67022
Peak,T,32,row,197.141069779159,35727
Peak,T,10,row,143.47080118129,10497
Peak,F,2,row,161.135566809505,5134
Peak,D,3,woody,146.775603615974,17478
Peak,T,20,row,203.605908824105,51110
Peak,P,6,hay,157.282512271571,33818
Peak,F,1,row,223.482411326814,20553
Peak,C,4,woody,169.215665070292,6473
Peak,T,6,row,155.197350291468,9435
Peak,D,6,woody,168.969003338102,4194
Peak,C,6,woody,105.128274372131,22218
Peak,D,5,woody,173.497289874973,41511
Peak,T,31,row,188.193709435846,6009
Peak,C,7,woody,119.75956284153,4026
Peak,T,21,row,213.166085367879,6021
Peak,T,9,row,201.971755875963,15189
Peak,P,4,hay,164.662413189543,17711
Peak,D,1,woody,126.734284612418,7779
Peak,D,15,woody,172.360054970224,4366
Peak,T,19,woody,166.638268636208,20377
Peak,F,10,row,199.752794336811,5368
Peak,R,2,rice,199.847886347886,2886
Peak,T,27,row,153.814556509299,5592
Peak,F,11,row,150.29484029484,2849
Peak,C,8,woody,160.412348048624,3126
Peak,T,**,row,207.590909090909,66
Peak,G,**,row,124.086956521739,46
Peak,T,12,row,156.957317073171,2624
Peak,D,8,woody,120.018283923208,7657
Peak,C,10,woody,143.271779141104,1630
Peak,P,7,hay,145.971511347175,2071
Peak,D,7,woody,163.739804516347,5934
Peak,T,13,row,215.568827586207,3625
Peak,D,17,woody,145.64846743295,1044
Peak,D,2,woody,144.885112168593,1471
Peak,F,5,row,86.3735059760956,1004
OGD,D,12,woody,155.164857272448,273388
OGD,G,6,row,110.981297246732,158212
OGD,F,16,row,217.950335403489,104501
OGD,T,30,row,191.05311584717,106183
OGD,C,5,woody,143.755430804541,161210
OGD,YP,**,woody,158.742193779756,32346
OGD,V,2,woody,137.971224166245,351962
OGD,P,3,hay,150.923698223795,139905
OGD,F,12,row,196.529237706073,7097
OGD,T,4,row,193.473512091217,79810
OGD,T,18,row,188.328017084696,88032
OGD,D,13,woody,163.05037111522,117349
OGD,P,1,hay,149.095444932825,96464
OGD,R,1,rice,242.721688025192,59383
OGD,D,16,woody,169.048439103034,13646
OGD,D,10,woody,154.185513402666,13654
OGD,T,16,row,178.489582982734,29711
OGD,D,14,woody,181.086318384375,52735
OGD,G,2,row,108.148413953627,67022
OGD,T,32,row,214.566658269656,35727
OGD,T,10,row,157.476326569496,10497
OGD,F,2,row,176.351772497078,5134
OGD,D,3,woody,171.988785902277,17478
OGD,T,20,row,231.312306789278,51110
OGD,P,6,hay,176.614938789993,33818
OGD,F,1,row,246.440227703985,20553
OGD,C,4,woody,187.536999845512,6473
OGD,T,6,row,172.702914679385,9435
OGD,D,6,woody,196.237005245589,4194
OGD,C,6,woody,124.153614186695,22218
OGD,D,5,woody,206.003252150033,41511
OGD,T,31,row,206.225661507738,6009
OGD,C,7,woody,141.292846497765,4026
OGD,T,21,row,231.778442119249,6021
OGD,T,9,row,215.485153729673,15189
OGD,P,4,hay,184.483428377844,17711
OGD,D,1,woody,150.605861935982,7779
OGD,D,15,woody,205.183005038937,4366
OGD,T,19,woody,187.630269421407,20377
OGD,F,10,row,213.596870342772,5368
OGD,R,2,rice,213.21586971587,2886
OGD,T,27,row,173,5592
OGD,F,11,row,175.416286416286,2849
OGD,C,8,woody,191.100127959053,3126
OGD,T,**,row,221.166666666667,66
OGD,G,**,row,138.195652173913,46
OGD,T,12,row,169.188643292683,2624
OGD,D,8,woody,140.413086065039,7657
OGD,C,10,woody,167.703680981595,1630
OGD,P,7,hay,173.060840173829,2071
OGD,D,7,woody,199.69329288844,5934
OGD,T,13,row,236.864827586207,3625
OGD,D,17,woody,172.478927203065,1044
OGD,D,2,woody,172.851801495581,1471
OGD,F,5,row,119.756972111554,1004
50PCGD,D,12,woody,216.064808989422,273388
50PCGD,G,6,row,135.943284959422,158212
50PCGD,F,16,row,242.613190304399,104501
50PCGD,T,30,row,207.395091492989,106183
50PCGD,C,5,woody,187.771670491905,161210
50PCGD,YP,**,woody,195.408489457738,32346
50PCGD,V,2,woody,184.21738710429,351962
50PCGD,P,3,hay,190.279039348129,139905
50PCGD,F,12,row,219.522615189517,7097
50PCGD,T,4,row,212.881430898384,79810
50PCGD,T,18,row,213.508337877136,88032
50PCGD,D,13,woody,228.533477064142,117349
50PCGD,P,1,hay,197.544690247139,96464
50PCGD,R,1,rice,271.50809154135,59383
50PCGD,D,16,woody,227.585153158435,13646
50PCGD,D,10,woody,205.028782774279,13654
50PCGD,T,16,row,219.308303322002,29711
50PCGD,D,14,woody,241.136114534939,52735
50PCGD,G,2,row,132.842708364418,67022
50PCGD,T,32,row,238.907576902623,35727
50PCGD,T,10,row,178.948080403925,10497
50PCGD,F,2,row,204.430074016362,5134
50PCGD,D,3,woody,235.408170271198,17478
50PCGD,T,20,row,261.850753277245,51110
50PCGD,P,6,hay,214.836625465728,33818
50PCGD,F,1,row,277.713618449861,20553
50PCGD,C,4,woody,224.964467789279,6473
50PCGD,T,6,row,194.087652358241,9435
50PCGD,D,6,woody,256.756080114449,4194
50PCGD,C,6,woody,159.535196687371,22218
50PCGD,D,5,woody,268.275469152755,41511
50PCGD,T,31,row,229.700615743052,6009
50PCGD,C,7,woody,182.160953800298,4026
50PCGD,T,21,row,254.530642750374,6021
50PCGD,T,9,row,238.864112186451,15189
50PCGD,P,4,hay,228.830218508272,17711
50PCGD,D,1,woody,200.337704075074,7779
50PCGD,D,15,woody,257.214383875401,4366
50PCGD,T,19,woody,230.016832703538,20377
50PCGD,F,10,row,235.528315946349,5368
50PCGD,R,2,rice,239.953915453915,2886
50PCGD,T,27,row,211.584406294707,5592
50PCGD,F,11,row,206.162162162162,2849
50PCGD,C,8,woody,251.796225207934,3126
50PCGD,T,**,row,242.515151515152,66
50PCGD,G,**,row,161.173913043478,46
50PCGD,T,12,row,187.036966463415,2624
50PCGD,D,8,woody,192.154107352749,7657
50PCGD,C,10,woody,207.961963190184,1630
50PCGD,P,7,hay,210.506518590053,2071
50PCGD,D,7,woody,264.848668688911,5934
50PCGD,T,13,row,262.870896551724,3625
50PCGD,D,17,woody,228.827586206897,1044
50PCGD,D,2,woody,231.390210740993,1471
50PCGD,F,5,row,149.914342629482,1004
OGMn,D,12,woody,260.092999692744,273388
OGMn,G,6,row,165.881665107577,158212
OGMn,F,16,row,264.114352972699,104501
OGMn,T,30,row,224.551632558884,106183
OGMn,C,5,woody,234.431952112152,161210
OGMn,YP,**,woody,232.241111729426,32346
OGMn,V,2,woody,223.076692938442,351962
OGMn,P,3,hay,228.643944104928,139905
OGMn,F,12,row,255.362688459913,7097
OGMn,T,4,row,231.664240070167,79810
OGMn,T,18,row,239.083208378771,88032
OGMn,D,13,woody,269.67123707914,117349
OGMn,P,1,hay,232.595610797811,96464
OGMn,R,1,rice,295.83220787094,59383
OGMn,D,16,woody,273.594826322732,13646
OGMn,D,10,woody,248.781529222206,13654
OGMn,T,16,row,259.617212480226,29711
OGMn,D,14,woody,277.056395183465,52735
OGMn,G,2,row,157.968144788278,67022
OGMn,T,32,row,260.800319086405,35727
OGMn,T,10,row,211.663046584739,10497
OGMn,F,2,row,253.278340475263,5134
OGMn,D,3,woody,287.244764847237,17478
OGMn,T,20,row,285.493132459401,51110
OGMn,P,6,hay,247.199006446271,33818
OGMn,F,1,row,309.695372938257,20553
OGMn,C,4,woody,267.416499304805,6473
OGMn,T,6,row,213.342342342342,9435
OGMn,D,6,woody,294.613257033858,4194
OGMn,C,6,woody,204.250202538482,22218
OGMn,D,5,woody,307.404254294043,41511
OGMn,T,31,row,247.97586952904,6009
OGMn,C,7,woody,229.457526080477,4026
OGMn,T,21,row,275.746221557881,6021
OGMn,T,9,row,264.132266772006,15189
OGMn,P,4,hay,277.883857489696,17711
OGMn,D,1,woody,247.106311865278,7779
OGMn,D,15,woody,291.308978469995,4366
OGMn,T,19,woody,269.14069784561,20377
OGMn,F,10,row,261.875186289121,5368
OGMn,R,2,rice,281.584546084546,2886
OGMn,T,27,row,250.744456366237,5592
OGMn,F,11,row,234.611442611443,2849
OGMn,C,8,woody,295.65770953295,3126
OGMn,T,**,row,261.530303030303,66
OGMn,G,**,row,182.347826086957,46
OGMn,T,12,row,205.572027439024,2624
OGMn,D,8,woody,240.910539375735,7657
OGMn,C,10,woody,243.821472392638,1630
OGMn,P,7,hay,237.113471752776,2071
OGMn,D,7,woody,306.467307044152,5934
OGMn,T,13,row,281.162206896552,3625
OGMn,D,17,woody,267.683908045977,1044
OGMn,D,2,woody,272.895989123046,1471
OGMn,F,5,row,168.5796812749,1004
EVImax,D,12,woody,0.431512213211594,273388
EVImax,G,6,row,0.584515749087326,158212
EVImax,F,16,row,0.591715248449989,104501
EVImax,T,30,row,0.479976213590501,106183
EVImax,C,5,woody,0.432231787035407,161210
EVImax,YP,**,woody,0.311124387749335,32346
EVImax,V,2,woody,0.429447516581541,351962
EVImax,P,3,hay,0.548691360701142,139905
EVImax,F,12,row,0.54046118542844,7097
EVImax,T,4,row,0.618679112399865,79810
EVImax,T,18,row,0.474199196061978,88032
EVImax,D,13,woody,0.474929803187238,117349
EVImax,P,1,hay,0.607164254756637,96464
EVImax,R,1,rice,0.63283029322926,59383
EVImax,D,16,woody,0.429250398492058,13646
EVImax,D,10,woody,0.425829182000151,13654
EVImax,T,16,row,0.344622579228681,29711
EVImax,D,14,woody,0.341164241101201,52735
EVImax,G,2,row,0.666101446722922,67022
EVImax,T,32,row,0.623139706992192,35727
EVImax,T,10,row,0.502941413009212,10497
EVImax,F,2,row,0.483472208327882,5134
EVImax,D,3,woody,0.475621738943215,17478
EVImax,T,20,row,0.494578965303709,51110
EVImax,P,6,hay,0.575527872470062,33818
EVImax,F,1,row,0.664390001745525,20553
EVImax,C,4,woody,0.379263769005918,6473
EVImax,T,6,row,0.683482053937916,9435
EVImax,D,6,woody,0.485639047633682,4194
EVImax,C,6,woody,0.407398876687808,22218
EVImax,D,5,woody,0.439461535780377,41511
EVImax,T,31,row,0.669342674925549,6009
EVImax,C,7,woody,0.410915016596531,4026
EVImax,T,21,row,0.519415742227673,6021
EVImax,T,9,row,0.576159879710722,15189
EVImax,P,4,hay,0.489851640390253,17711
EVImax,D,1,woody,0.450169581263348,7779
EVImax,D,15,woody,0.360764746404742,4366
EVImax,T,19,woody,0.35651090480845,20377
EVImax,F,10,row,0.5666452050818,5368
EVImax,R,2,rice,0.504180527643633,2886
EVImax,T,27,row,0.238675595786897,5592
EVImax,F,11,row,0.587945764785163,2849
EVImax,C,8,woody,0.553388160887471,3126
EVImax,T,**,row,0.481186738410479,66
EVImax,G,**,row,0.397491007163142,46
EVImax,T,12,row,0.623536970934927,2624
EVImax,D,8,woody,0.435358608157624,7657
EVImax,C,10,woody,0.360196916321799,1630
EVImax,P,7,hay,0.613317476712119,2071
EVImax,D,7,woody,0.435084621297243,5934
EVImax,T,13,row,0.722720662259919,3625
EVImax,D,17,woody,0.451823264281383,1044
EVImax,D,2,woody,0.455542969235801,1471
EVImax,F,5,row,0.644520370374898,1004
EVIamp,D,12,woody,0.246748073939792,273388
EVIamp,G,6,row,0.468341479331888,158212
EVIamp,F,16,row,0.48468611556126,104501
EVIamp,T,30,row,0.401795587503583,106183
EVIamp,C,5,woody,0.131677599881712,161210
EVIamp,YP,**,woody,0.179302042539368,32346
EVIamp,V,2,woody,0.254014487830829,351962
EVIamp,P,3,hay,0.298922933714669,139905
EVIamp,F,12,row,0.461929918324259,7097
EVIamp,T,4,row,0.531751590122235,79810
EVIamp,T,18,row,0.366754326622498,88032
EVIamp,D,13,woody,0.295209564242584,117349
