metric,type,col,y_mean,n
OGI,date,mslsp_OGI,60.5860408389399,2339238
50PCGI,date,mslsp_50PCGI,89.6906894467344,2339238
OGMx,date,mslsp_OGMx,122.279115250351,2339238
Peak,date,mslsp_Peak,143.086775266134,2339238
OGD,date,mslsp_OGD,164.234668725457,2339238
50PCGD,date,mslsp_50PCGD,205.019826541806,2339238
OGMn,date,mslsp_OGMn,239.815424082543,2339238
EVImax,evi,mslsp_EVImax,0.495433978583041,2339238
EVIamp,evi,mslsp_EVIamp,0.332830835345784,2339238
EVIarea,evi,mslsp_EVIarea,81.1547708274583,2339238
