scnID	scnDate	cellsw	cellnw	cellne	cellse	HHsw	HHnw	HHne	HHse	HVsw	HVnw	HVne	HVse
ALPSRP071200910	20070527 04:18:21.011	20339229	20333609	20288810	20300030	7840	0	0	5573	4482	0	0	2712
ALPSRP073680920	20070613 04:20:35.644	2452195	2440975	2396176	2407396	1296	1562	1455	1464	898	635	946	552
ALPSRP084620910	20070827 04:18:08.539	20529634	20518414	20473615	20484835	1735	0	0	6022	434	0	0	2648
ALPSRP127360920	20080615 04:17:34.200	NA	NA	NA	NA	NA	0	0	0	NA	0	0	0
ALPSRP140780920	20080915 04:18:11.003	1063402	1057782	1012983	1018603	7644	4749	5644	5181	4078	3024	2459	3642
ALPSRP185270910	20090717 04:19:37.125	20092897	20081677	20036878	20048098	6039	5323	3767	6647	3679	3462	2355	2225
ALPSRP185270920	20090717 04:19:45.337	20422127	20410907	20366107	20377327	6959	4668	5625	1849	2579	2424	3004	1119
ALPSRP191980910	20090901 04:19:50.398	20479247	20473627	20428828	20434448	6831	8938	6538	3774	2840	3576	3019	3862
ALPSRP191980920	20090901 04:19:58.611	20483686	20478066	20433267	20444487	4875	7208	6850	7080	3735	3322	4396	3507
ALPSRP232240910	20100604 04:18:53.696	21481657	21476037	21431238	21436858	4727	2579	7588	5109	2898	3276	4109	3335
ALPSRP234720920	20100621 04:21:00.704	3308962	3297742	3252943	3264163	6350	2929	6931	7247	2734	2802	2632	3369
ALPSRP241430920	20100806 04:20:30.246	3471398	3465778	3420979	3426599	4524	4284	6549	3446	1713	1646	2775	2231
ALPSRP245660910	20100904 04:17:51.756	21644025	21638405	21593606	21604826	8758	0	0	8213	3433	0	0	1933
ALPSRP248140910	20100921 04:19:46.955	3287806	3282186	3237387	3243007	9412	7005	7221	9324	4605	4572	2464	4782
ALPSRP254850910	20101106 04:19:06.005	3243004	3231784	3186985	3198205	4696	6106	7376	3781	2783	2349	2481	2871
ALPSRP254850920	20101106 04:19:14.177	2379374	2368154	2323355	2334575	4959	2114	1921	2851	1815	1506	849	1018
ALPSRP259080910	20101205 04:16:26.705	21739201	NA	NA	21694402	0	NA	0	0	0	NA	0	0
