scnid	scndate	scnUTMzone	scnpix	scncf	scn_nwlat	scn_nwlon	scn_nelat	scn_nelon	scn_swlat	scn_swlon	scn_selat	scn_selon	scn_centlat	scn_centlon
ALPSRP069450900	20070515 04:22:29.412	15	12.5	-83	45.738	-90.654	45.846	-89.773	45.224	-90.521	45.332	-89.647	45.536	-90.149
ALPSRP069450910	20070515 04:22:37.625	15	12.5	-83	46.231	-90.783	46.338	-89.894	45.717	-90.649	45.824	-89.767	46.028	-90.273
ALPSRP069450920	20070515 04:22:45.837	15	12.5	-83	46.717	-90.902	46.823	-90.005	46.203	-90.766	46.309	-89.878	46.514	-90.388
ALPSRP071200900	20070527 04:18:12.799	16	12.5	-83	45.738	-89.588	45.846	-88.707	45.224	-89.455	45.332	-88.582	45.536	-89.083
ALPSRP071200910	20070527 04:18:21.011	16	12.5	-83	46.23	-89.718	46.338	-88.828	45.717	-89.583	45.824	-88.702	46.028	-89.208
ALPSRP073680900	20070613 04:20:19.219	16	12.5	-83	45.743	-90.129	45.851	-89.247	45.23	-89.995	45.338	-89.121	45.541	-89.623
ALPSRP073680920	20070613 04:20:35.644	16	12.5	-83	46.717	-90.372	46.824	-89.475	46.205	-90.237	46.312	-89.348	46.515	-89.858
ALPSRP076160900	20070630 04:22:26.435	15	12.5	-83	45.743	-90.653	45.852	-89.772	45.231	-90.52	45.34	-89.647	45.542	-90.148
ALPSRP076160910	20070630 04:22:34.647	15	12.5	-83	46.234	-90.782	46.342	-89.893	45.722	-90.648	45.83	-89.767	46.033	-90.273
ALPSRP076160920	20070630 04:22:42.861	15	12.5	-83	46.704	-90.9	46.809	-90.002	46.192	-90.765	46.297	-89.876	46.502	-90.386
ALPSRP078640900	20070717 04:24:33.590	15	12.5	-83	45.743	-91.191	45.852	-90.309	45.231	-91.057	45.339	-90.184	45.542	-90.685
ALPSRP078640910	20070717 04:24:41.804	15	12.5	-83	46.235	-91.32	46.343	-90.43	45.722	-91.185	45.831	-90.304	46.034	-90.81
ALPSRP082140920	20070810 04:16:11.714	16	12.5	-83	46.727	-89.29	46.835	-88.393	46.214	-89.154	46.322	-88.266	46.526	-88.776
ALPSRP082870900	20070815 04:22:20.817	15	12.5	-83	45.735	-90.656	45.842	-89.774	45.221	-90.522	45.328	-89.648	45.532	-90.15
ALPSRP082870910	20070815 04:22:29.031	15	12.5	-83	46.227	-90.785	46.335	-89.895	45.714	-90.65	45.821	-89.768	46.025	-90.275
ALPSRP082870920	20070815 04:22:37.243	15	12.5	-83	46.707	-90.895	46.812	-89.998	46.193	-90.759	46.298	-89.87	46.503	-90.381
ALPSRP084620900	20070827 04:18:00.326	16	12.5	-83	45.738	-89.583	45.846	-88.701	45.224	-89.45	45.332	-88.576	45.536	-89.078
ALPSRP084620910	20070827 04:18:08.539	16	12.5	-83	46.232	-89.713	46.34	-88.822	45.718	-89.578	45.826	-88.696	46.029	-89.202
ALPSRP092060900	20071017 04:24:10.335	15	12.5	-83	45.74	-91.177	45.848	-90.296	45.227	-91.044	45.335	-90.171	45.539	-90.672
ALPSRP092060910	20071017 04:24:18.548	15	12.5	-83	46.232	-91.306	46.339	-90.416	45.719	-91.172	45.826	-90.29	46.03	-90.796
ALPSRP123130900	20080517 04:19:21.496	15	12.5	-83	45.739	-90.616	45.846	-89.734	45.227	-90.484	45.334	-89.61	45.537	-90.111
