Datum,n_obs,observed,n_pred,predicted,risingTime,fallingTime,year,station_id,station_name
HHA,1,0.602,1,0.4871125695148909,8,-7,1980,1611400,Nawiliwili
HOT,1,0.602,NA,NA,NA,NA,1980,1611400,Nawiliwili
MSL,8241,0.02262965659507329,8784,0.02035019088134357,NA,NA,1980,1611400,Nawiliwili
LLA,1,-0.382,1,-0.36295791785697823,6,-7,1980,1611400,Nawiliwili
LOT,1,-0.428,NA,NA,NA,NA,1980,1611400,Nawiliwili
HOT,1,0.584,NA,NA,NA,NA,1981,1611400,Nawiliwili
HHA,1,0.529,1,0.5716000340652324,8,-7,1981,1611400,Nawiliwili
HHS,24,0.4665416666666667,24,0.458523694146042,7.25,-6.83333333333333,1981,1611400,Nawiliwili
HH,328,0.3605,328,0.36057857694671475,7.29573170731707,-6.82874617737003,1981,1611400,Nawiliwili
LH,352,0.09798295454545455,352,0.099200189110332,4.98011363636364,-5.73011363636364,1981,1611400,Nawiliwili
MSL,8760,0.05694337899543382,8760,0.05755307361791141,NA,NA,1981,1611400,Nawiliwili
HL,352,-0.0689375,352,-0.06786821519062274,6.39772727272727,-5.11931818181818,1981,1611400,Nawiliwili
LL,330,-0.19026060606060607,330,-0.18958607822212953,6.18237082066869,-7.15151515151515,1981,1611400,Nawiliwili
LLS,22,-0.26454545454545453,22,-0.2605885254319183,5.86363636363636,-7.22727272727273,1981,1611400,Nawiliwili
LLA,1,-0.373,1,-0.4061408355032131,6,-7,1981,1611400,Nawiliwili
LOT,1,-0.446,NA,NA,NA,NA,1981,1611400,Nawiliwili
HOT,1,0.566,NA,NA,NA,NA,1982,1611400,Nawiliwili
HHA,1,0.52,1,0.5158979315795844,8,-7,1982,1611400,Nawiliwili
HHS,23,0.35356521739130436,23,0.359083699810401,7.52173913043478,-7.08695652173913,1982,1611400,Nawiliwili
HH,329,0.25242857142857145,329,0.25414296876632986,7.3951367781155,-7.06990881458967,1982,1611400,Nawiliwili
LH,348,-0.01873563218390804,348,-0.01705702042485202,4.79310344827586,-5.6867816091954,1982,1611400,Nawiliwili
MSL,8760,-0.04303310502283101,8760,-0.04047179135223742,NA,NA,1982,1611400,Nawiliwili
HL,350,-0.15800285714285714,350,-0.15453582060354276,6.44,-4.92263610315186,1982,1611400,Nawiliwili
LL,327,-0.28396024464831804,327,-0.28202011859461656,6.36196319018405,-7.28134556574924,1982,1611400,Nawiliwili
LLS,24,-0.356375,24,-0.3503194598400325,5.875,-7.29166666666667,1982,1611400,Nawiliwili
LLA,1,-0.464,1,-0.4753143694375474,6,-8,1982,1611400,Nawiliwili
LOT,1,-0.501,NA,NA,NA,NA,1982,1611400,Nawiliwili
HOT,1,0.581,NA,NA,NA,NA,1983,1611400,Nawiliwili
HHA,1,0.529,1,0.5426581863656663,7,-7,1983,1611400,Nawiliwili
HHS,23,0.42395652173913045,23,0.41453743651827313,7.56521739130435,-6.95652173913043,1983,1611400,Nawiliwili
HH,329,0.31740425531914895,329,0.3098196204743901,7.46808510638298,-7.13373860182371,1983,1611400,Nawiliwili
LH,350,0.03756285714285715,350,0.0299655741251459,4.68767908309456,-5.64183381088825,1983,1611400,Nawiliwili
MSL,8760,0.01586906392694088,8760,0.0093757938640724,NA,NA,1983,1611400,Nawiliwili
HL,349,-0.10053581661891116,349,-0.10562492724180218,6.46991404011461,-4.86532951289398,1983,1611400,Nawiliwili
LL,330,-0.22883636363636364,330,-0.23578245513460527,6.32424242424242,-7.28787878787879,1983,1611400,Nawiliwili
LLS,22,-0.2973181818181818,22,-0.30441157872495983,6,-7.40909090909091,1983,1611400,Nawiliwili
LLA,1,-0.474,1,-0.42379690430347017,6,-8,1983,1611400,Nawiliwili
LOT,1,-0.474,NA,NA,NA,NA,1983,1611400,Nawiliwili
HOT,1,0.621,NA,NA,NA,NA,1984,1611400,Nawiliwili
HHA,1,0.56,1,0.5858817650123234,7,-8,1984,1611400,Nawiliwili
HHS,22,0.4431818181818182,22,0.44825988094423447,7.72727272727273,-7.18181818181818,1984,1611400,Nawiliwili
