id,layer,rep,machine,day,year,month,,Photo,Cond,Ci,Tleaf,CO2R,PARi,Ci_Pa
bigblue,,1161,,,2010,6,,25.06239124,0.094496553,117.962928,26.19673538,399.7693481,1963.427612,11.69030688
bigblue,,1161,,,2010,6,,19.3166062,0.091201372,75.50568577,26.50253677,299.5821228,1960.467285,7.482891007
bigblue,,1161,,,2010,6,,12.75800228,0.09491162,56.7212426,26.58401489,199.4883118,1960.972778,5.621183243
bigblue,,1161,,,2010,6,,7.746784187,0.10009755,42.9630573,26.67500687,125.76931,1959.790894,4.257778221
bigblue,,1161,,,2010,6,,4.050967367,0.105507708,32.87695213,26.69297409,74.50016022,1960.912842,3.258254147
bigblue,,1161,,,2010,6,,2.424366626,0.112213386,25.85838961,26.85611343,49.65770721,1959.045044,2.562648441
bigblue,,1161,,,2010,6,,1.420249872,0.116359375,21.31649727,26.92999649,35.05682373,1957.976196,2.112544049
bigblue,,1161,,,2010,6,,27.99515887,0.114428607,137.0046926,27.09332657,400.7401428,1957.371338,13.57692756
bigblue,,1161,,,2010,6,,33.87637636,0.103283426,244.6517599,27.47888565,599.6078491,1954.954468,24.24332781
bigblue,,1161,,,2010,6,,34.09521649,0.086806073,373.2531198,27.92269516,799.7208252,1955.645874,36.9856104
bigblue,,1162,,,2010,6,,34.14093014,0.141754802,163.4115292,24.09384155,400.4472961,1473.261841,16.18750703
bigblue,,1162,,,2010,6,,28.66767771,0.145228016,105.0453637,24.43714142,298.9819641,1468.969238,10.4055274
bigblue,,1162,,,2010,6,,20.1966896,0.147674789,65.42356714,24.80872345,199.8350983,1466.177246,6.480874872
bigblue,,1162,,,2010,6,,13.03734083,0.154792649,41.50318918,25.13101959,124.5869751,1464.080444,4.111205126
bigblue,,1162,,,2010,6,,7.399076858,0.162144179,29.64585189,25.54326248,75.02381134,1461.300537,2.936620985
bigblue,,1162,,,2010,6,,4.185511366,0.155883151,22.80898613,25.94409561,49.59424591,1459.92627,2.259322898
bigblue,,1162,,,2010,6,,2.789174961,0.149241498,16.26122014,26.21208954,34.84864426,1459.109985,1.610736929
bigblue,,1162,,,2010,6,,31.46512545,0.131719545,114.2032589,26.61725235,399.6123962,1457.745605,11.31191156
bigblue,,1162,,,2010,6,,43.51139439,0.125604004,259.5571392,26.85424042,598.5498657,1458.367798,25.70862056
bigblue,,1162,,,2010,6,,46.20184874,0.130839207,448.3091541,27.11219025,800.1608276,1456.042358,44.40322399
indiangrass,,161,,,2010,6,,10.545454,0.069773092,198.2212778,26.69496346,400.4905396,2033.897583,19.6142247
indiangrass,,161,,,2010,6,,8.550023256,0.079165991,143.3679961,26.34185028,299.6919861,2037.181641,14.18688515
indiangrass,,161,,,2010,6,,6.480869405,0.089078838,94.3877455,26.03210258,199.9936523,2039.461914,9.339515183
