"","BIOME","Species","GF","log.LL","log.LMA"
"1","WLAND","Adenostoma fasciculatum","S",1.26,2.45
"2","WLAND","Arbutus menziesii","S",1.17,2.19
"3","WLAND","Arctostaphylos tomentosa","S",1.35,2.15
"4","WLAND","Artemisia californica","S",NA,1.98
"5","WLAND","Baccharis pilularis","S",0.95,2.03
"6","WLAND","Ceanothus cuneatus","S",1.17,2.36
"7","WLAND","Ceanothus oliganthus","S",1.04,2.08
"8","WLAND","Cercocarpus betuloides","S",1.07,2.14
"9","WLAND","Clematis lasiantha","V",NA,1.87
"10","WLAND","Dirca occidentalis","S",0.6,1.75
"11","WLAND","Eriodictyon californicum","S",0.96,2.25
"12","WLAND","Heteromeles arbutifolia","S",1.36,2.32
"13","WLAND","Holodiscus discolor","S",0.66,1.89
"14","WLAND","Lepechinia calycina","S",0.64,2
"15","WLAND","Lonicera hispidula","V",NA,2.03
"16","WLAND","Lotus scoparius","S",0.3,1.98
"17","WLAND","Mimulus aurantiacus","S",0.88,2.05
"18","WLAND","Pickeringia montana","S",NA,2.18
"19","WLAND","Prunus iIlicifolia","S",1.22,2.18
"20","WLAND","Quercus agrifolia","S",NA,2.29
"21","WLAND","Quercus durata","S",NA,2.32
"22","WLAND","Rhamnus californica","S",1.19,1.87
"23","WLAND","Rhamnus crocea","S",1.13,2.1
"24","WLAND","Ribes californicum","S",0.52,1.97
"25","WLAND","Ribes malvaceum","S",NA,1.87
"26","WLAND","Sambucus mexicana","S",0.62,2
"27","WLAND","Solanum umbelliferum","S",NA,1.9
"28","WLAND","Toxicodendron diversiloba","S",0.62,1.9
"29","TEMP_RF","Cheirodendron tryginum","T",NA,1.95
"30","TEMP_RF","Chenopodium oahuense","S",NA,1.95
"31","TEMP_RF","Comprosma ochracea","T",NA,1.9
"32","TEMP_RF","Meterosideros polymorpha pb","T",NA,2.49
"33","TEMP_RF","Myoporum sandwicensis","T",NA,2.17
"34","TEMP_RF","Myrsine lessertiana","T",NA,2.19
"35","TEMP_RF","Pelea sp","T",NA,1.82
"36","TEMP_RF","Rhus sandwicensis","T",NA,1.68
"37","TEMP_RF","Rubus hawaiiensis","S",NA,1.56
"38","TEMP_RF","Sophora chrysophylla","T",NA,2.06
"39","TEMP_RF","Styphelia tameiameiae","S",NA,2.31
"40","TEMP_RF","Vaccinium chalicinum","S",NA,1.73
"41","TEMP_RF","Vaccinium reticulatum","S",NA,2.23
"42","TEMP_RF","Carex kauaiensis","G",NA,2.18
"43","TEMP_RF","Dodonaea viscosa","S",NA,2.16
"44","TEMP_RF","Dubautia scabra","S",NA,1.82
"45","TEMP_RF","Meterosideros polymorpha pb","T",NA,2.29
"46","TEMP_RF","Nephrolepsis sp","F",NA,2.19
"47","TROP_RF","Dicranopteris linearis","F",NA,1.92
"48","TROP_RF","Heteropogon contortus","G",NA,1.66
"49","TROP_RF","Meterosideros polymorpha gl","T",NA,2.15
"50","TROP_RF","Meterosideros polymorpha pb","T",NA,2.25
"51","TROP_RF","Myrsine sandwicensis","S",NA,1.66
"52","TROP_RF","Nephrolepsis sp","F",NA,1.68
"53","TROP_RF","Pipturus albidus","T",NA,1.79
"54","TROP_RF","Psychotria sp","S",NA,1.85
"55","TEMP_RF","Brussaisia arguta","S",NA,1.86
"56","TEMP_RF","Cibotium glaucum","F",NA,1.78
"57","TEMP_RF","Clermontia montes-loa","S",NA,1.51
"58","TEMP_RF","Freycinetia arborea","H",NA,1.78
"59","TEMP_RF","Ilex anomala","T",NA,1.98
"60","TEMP_RF","Meterosideros polymorpha gl","T",NA,2.04
"61","TEMP_RF","Meterosideros polymorpha pb","T",NA,2.31
"62","TEMP_RF","Peperomia sp","H",NA,1.57
"63","TEMP_RF","Comprosma ernodeoides","S",NA,1.91
"64","TEMP_RF","Comprosma ochracea","S",NA,1.6
"65","TEMP_RF","Dicranopteris linearis","F",NA,2.04
"66","TEMP_RF","Hedyotis centranthoides","S",NA,2.09
"67","TEMP_RF","Machaerina mariscoides","G",NA,2.35
"68","TEMP_RF","Meterosideros polymorpha gl","T",NA,2.2
"69","TEMP_RF","Meterosideros polymorpha pb","T",NA,2.56
"70","TEMP_FOR","Betula papyrifera","T",NA,2
"71","TEMP_FOR","Prunus serotina","T",NA,1.75
"72","TEMP_FOR","Fraxinus americana","T",NA,1.96
"73","TEMP_FOR","Quercus rubra","T",NA,2.04
"74","TEMP_FOR","Quercus alba","T",NA,2
"75","TEMP_FOR","Castanea dentata","T",NA,1.76
"76","TEMP_FOR","Ulmus americana","T",NA,1.81
"77","TEMP_FOR","Acer rubrum","T",NA,2.02
"78","TEMP_FOR","Acer saccharum","T",NA,2.01
"79","TEMP_FOR","Acer pensylvanicum","T",NA,1.77
"80","TROP_RF","Acalypha skutchii","T",NA,1.41
"81","TROP_RF","Aegiphila costaricensis","T",NA,1.63
"82","TROP_RF","Allophylus camptostachys","T",NA,2.03
"83","TROP_RF","Amphitecna tuxtlensis","T",NA,1.93
"84","TROP_RF","Astrocaryum mexicanum","T",NA,1.87
"85","TROP_RF","Bactris trichophylla","S",NA,1.74
"86","TROP_RF","Brosimum alicastrum","T",NA,1.8
"87","TROP_RF","Bursera simaruba","T",NA,1.93
"88","TROP_RF","Capparis baducca","T",NA,1.75
"89","TROP_RF","Casearia sylvestris","T",NA,1.8
"90","TROP_RF","Cecropia obtusifolia","T",NA,1.89
"91","TROP_RF","Chamaedorea alternans","T",NA,1.62
"92","TROP_RF","Chamaedorea pinnatifrons","T",NA,1.61
"93","TROP_RF","Clarisia biflora","T",NA,2.03
