"","AcceptedSymbol","ScientificName","genus","species","vcmax","vse","jmax","jse","vlcl","vucl","jlcl","jucl","temp","irradiance","notes"
"1","ACLI8","Acacia ligulata","Acacia","ligulata",67,7,169,8,45,89,136,201,20,1500,""
"2","ACMA12","Acacia mangium","Acacia","mangium",62,4,105,4,15,109,94,118,31,900,""
"3","ACSA3","Acer saccharum","Acer","saccharum",19,1,30,1,15,23,28,32,25,1500,""
"4","ACSA3","Acer saccharum","Acer","saccharum",30,2,NA,NA,21,38,NA,NA,25,1000,""
"5","ADBI","Adenocaulon bicolor","Adenocaulon","bicolor",15,1,41,1,11,19,37,44,20,400,""
"6","ALMA11","Alocasia macrorrhizos","Alocasia","macrorrhiza",37,2,106,5,29,45,92,119,25,1300,""
"7","ANOC","Anacardium occidentale","Anacardium","occidenlale",69,5,103,2,-5,143,98,108,32,1300,""
"8","ARUN4","Arbutus unedo","Arbutus","unedo",35,3,99,4,1,70,89,109,25,830,""
"9","ARUN4","Arbutus unedo","Arbutus","unedo",40,7,98,5,19,61,76,120,27,1500,""
"10","AVSA","Avena sativa","Avena","sativa",44,4,90,4,-7,95,38,141,23,1100,""
"11","AVMA3","Avicennia marina","Avicennia","marina",85,3,145,3,73,97,133,157,25,500,""
"12","BEVU2","Beta vulgaris","Beta","vulgaris",194,11,329,9,163,224,301,357,30,3000,""
"13","BEVU2","Beta vulgaris","Beta","vulgaris",129,11,226,5,-6,264,207,246,25,2500,""
"14","BEPE3","Betula pendula","Betula","pendula",34,3,106,2,28,40,102,109,20,1200,""
"15","BRNA","Brassica napus","Brassica","napus",61,15,187,6,-125,247,169,205,25,1250,""
"16","BROL","Brassica oleracea","Brassica","oleracea",63,9,167,2,-46,173,163,170,24,1500,""
"17","CAAN4","Capsicum annuum","Capsicum","annuum",91,25,290,10,-235,417,267,314,20,1300,""
"18","CASA27","Castanea sativa","Castanea","sativa",22,1,59,4,17,28,48,70,22,1000,""
"19","CEME","Ceanothus megacarpus","Ceanothus","megacarpus",42,3,94,3,34,50,88,99,25,1000,""
"20","CHAL7","Chenopodium album","Chenopodium","album",103,10,227,5,-28,233,211,242,24,1500,""
"21","CHAL7","Chenopodium album","Chenopodium","album",124,10,269,4,93,155,253,285,27,2000,""
"22","CHAL7","Chenopodium album","Chenopodium","album",148,4,262,6,134,162,246,278,27,1750,""
"23","CIAR5","Cicer arietinum","Cicer","arietinum",115,4,193,4,66,164,181,204,27,1650,""
"24","CISA","Cistus salviifolius","Cistus","salviifolius",71,6,167,6,56,86,154,180,25,1000,""
"25","CISI3","Citrus ×sinensis","Citrus","x sinensis",11,1,29,1,6,17,26,33,26,600,""
"26","CLSA","Claoxylon sandwicense","Claoxylon","sandwicense",9,1,33,3,6,12,24,41,22,1000,""
"27","CLSA","Claoxylon sandwicense","Claoxylon","sandwicense",30,2,70,6,21,38,54,85,30,1000,""
"28","COES","Colocasia esculenta","Colocasia","esculenta",59,2,188,4,36,82,177,198,25,1300,""
"29","CUSA4","Cucumis sativus","Cucumis","sativus",47,2,79,2,24,69,73,84,30,800,""
"30","ENFA","Encelia farinosa","Encelia","farinosa",182,2,264,2,153,210,259,270,30,1800,""
"31","ERRO8","Eremalche rotundifolia","Eremalche","rotundifolia",186,8,372,8,91,282,337,408,30,1800,"reported as syn Malvastrum rotundifolium"
