wavelength_nm,refractive_index,specific_abs_coeff_chl,specific_abs_coeff_car,specific_abs_coeff_cw,specific_abs_coeff_cm
400,1.49631,0.1289,0,0.000058,109.7
401,1.49701,0.131,0,0.0000585,103.7
402,1.49757,0.1332,0,0.000059,97.98
403,1.49839,0.1355,0,0.0000599,92.44
404,1.49946,0.1376,0,0.000061,87.13
405,1.50056,0.1393,0,0.000062,82.31
406,1.50168,0.1404,0,0.000063,78.06
407,1.50294,0.1415,0,0.000064,74.04
408,1.50439,0.1425,0,0.000065,70.13
409,1.50572,0.1432,0,0.000066,66.54
410,1.5069,0.144,0,0.000067,63
411,1.50792,0.1451,0,0.0000679,59.54
412,1.50929,0.1463,0,0.000069,56.16
413,1.51081,0.1471,0,0.0000705,53
414,1.51239,0.1478,0,0.000072,50.01
415,1.51389,0.1485,0,0.0000731,47.23
416,1.51538,0.149,0,0.000074,44.63
417,1.51684,0.1493,0,0.0000749,42.2
418,1.51823,0.1495,0,0.000076,39.96
419,1.51972,0.1499,0,0.0000774,37.8
420,1.52117,0.1505,0,0.000079,35.67
421,1.52251,0.1515,0,0.0000806,33.62
422,1.52387,0.1525,0,0.000082,31.7
423,1.52526,0.1534,0,0.000083,29.93
424,1.5268,0.1539,0,0.000084,28.32
425,1.52836,0.1543,0,0.0000855,26.79
426,1.52957,0.1549,0,0.000087,25.35
427,1.53034,0.1557,0,0.000088,24.02
428,1.53118,0.1563,0,0.000089,22.76
429,1.5321,0.1568,0,0.0000905,21.5
430,1.53288,0.1576,0,0.000092,20.24
431,1.53358,0.1587,0,0.000093,19.01
432,1.53436,0.1596,0,0.000094,17.85
433,1.53515,0.1603,0,0.0000955,16.76
434,1.53578,0.1609,0,0.000097,15.75
435,1.53643,0.1614,0,0.000098,14.81
436,1.53699,0.1618,0,0.000099,13.92
437,1.53739,0.1622,0,0.0001,13.12
438,1.53783,0.1624,0,0.000102,12.33
439,1.53826,0.1626,0,0.000103,11.61
440,1.53876,0.1624,0,0.000104,10.96
441,1.53938,0.1616,0,0.000105,10.41
442,1.53993,0.1606,0,0.000106,9.924
443,1.54038,0.1598,0,0.000107,9.41
444,1.54082,0.1587,0,0.000108,8.947
445,1.54125,0.1574,0,0.000109,8.508
446,1.54151,0.1561,0,0.00011,8.087
447,1.54178,0.1549,0,0.000111,7.64
448,1.54212,0.1532,0,0.000112,7.268
449,1.5425,0.1512,0,0.000113,6.939
450,1.54279,0.1489,0,0.000114,6.66
451,1.54303,0.1465,0,0.000115,6.422
452,1.54332,0.1438,0,0.000116,6.222
453,1.54353,0.1412,0,0.000117,6.01
454,1.54365,0.1387,0,0.000118,5.782
455,1.54365,0.1363,0,0.000119,5.573
456,1.5436,0.1339,0,0.00012,5.37
457,1.54354,0.1315,0,0.000121,5.173
458,1.54346,0.1293,0,0.000122,4.946
459,1.54326,0.1271,0,0.000123,4.761
460,1.54299,0.1252,0,0.000124,4.575
461,1.5426,0.1234,0,0.000125,4.419
462,1.54214,0.1218,0,0.000126,4.259
463,1.54164,0.1202,0,0.000127,4.117
464,1.54114,0.1186,0,0.000128,4.006
465,1.54062,0.117,0,0.000129,3.945
466,1.54014,0.1155,0,0.00013,3.853
467,1.53964,0.1142,0,0.000132,3.784
468,1.53928,0.1131,0,0.000133,3.671
469,1.53902,0.1121,0,0.000134,3.554
470,1.53875,0.1112,0,0.000135,3.462
471,1.5385,0.1105,0,0.000136,3.363
472,1.53825,0.11,0,0.000138,3.282
473,1.53806,0.1095,0,0.00014,3.184
474,1.53787,0.1091,0,0.000141,3.102
475,1.5377,0.1087,0,0.000142,3.051
476,1.53759,0.1084,0,0.000144,2.983
477,1.53749,0.1079,0,0.000146,2.947
478,1.53738,0.1074,0,0.000148,2.913
479,1.53726,0.107,0,0.00015,2.869
480,1.53712,0.1064,0,0.000152,2.803
481,1.5369,0.1055,0,0.000154,2.777
482,1.5366,0.1044,0,0.000157,2.751
483,1.53618,0.1032,0,0.00016,2.726
484,1.53567,0.1017,0,0.000162,2.702
485,1.53504,0.09992,0,0.000164,2.679
486,1.53426,0.09796,0,0.000167,2.656
