 Wavelength Refl Tran
 400 0.0485 0.0003 
 401 0.0492 0.0003 
 402 0.0499 0.0004 
 403 0.0502 0.0003 
 404 0.0509 0.0004 
 405 0.0517 0.0005 
 406 0.0523 0.0004 
 407 0.0529 0.0005 
 408 0.0536 0.0006 
 409 0.0539 0.0007 
 410 0.0548 0.0007 
 411 0.0551 0.0008 
 412 0.0557 0.0009 
 413 0.0562 0.0010 
 414 0.0569 0.0010 
 415 0.0574 0.0011 
 416 0.0575 0.0012 
 417 0.0582 0.0013 
 418 0.0583 0.0014 
 419 0.0590 0.0015 
 420 0.0596 0.0017 
 421 0.0597 0.0017 
 422 0.0601 0.0017 
 423 0.0603 0.0018 
 424 0.0605 0.0019 
 425 0.0610 0.0019 
 426 0.0611 0.0020 
 427 0.0614 0.0021 
 428 0.0618 0.0022 
 429 0.0618 0.0022 
 430 0.0618 0.0023 
 431 0.0622 0.0023 
 432 0.0624 0.0024 
 433 0.0626 0.0024 
 434 0.0627 0.0025 
 435 0.0624 0.0025 
 436 0.0626 0.0026 
 437 0.0629 0.0026 
 438 0.0628 0.0026 
 439 0.0630 0.0027 
 440 0.0630 0.0027 
 441 0.0634 0.0027 
 442 0.0636 0.0027 
 443 0.0635 0.0028 
 444 0.0636 0.0028 
 445 0.0639 0.0028 
 446 0.0644 0.0029 
 447 0.0645 0.0029 
 448 0.0649 0.0030 
 449 0.0649 0.0031 
 450 0.0653 0.0032 
 451 0.0655 0.0032 
 452 0.0659 0.0032 
 453 0.0660 0.0033 
 454 0.0662 0.0034 
 455 0.0665 0.0034 
 456 0.0664 0.0035 
 457 0.0667 0.0035 
 458 0.0667 0.0036 
 459 0.0670 0.0036 
 460 0.0670 0.0036 
 461 0.0671 0.0037 
 462 0.0671 0.0038 
 463 0.0674 0.0037 
 464 0.0674 0.0038 
 465 0.0675 0.0038 
 466 0.0677 0.0038 
 467 0.0675 0.0039 
 468 0.0677 0.0039 
 469 0.0679 0.0040 
 470 0.0680 0.0040 
 471 0.0677 0.0039 
 472 0.0678 0.0040 
 473 0.0678 0.0041 
 474 0.0681 0.0040 
 475 0.0680 0.0040 
 476 0.0683 0.0041 
 477 0.0680 0.0041 
 478 0.0681 0.0040 
 479 0.0683 0.0041 
 480 0.0680 0.0041 
 481 0.0684 0.0040 
 482 0.0682 0.0040 
 483 0.0686 0.0041 
 484 0.0686 0.0041 
 485 0.0688 0.0040 
 486 0.0683 0.0040 
 487 0.0688 0.0041 
 488 0.0695 0.0042 
 489 0.0695 0.0041 
 490 0.0695 0.0042 
 491 0.0698 0.0043 
 492 0.0702 0.0044 
 493 0.0708 0.0044 
 494 0.0711 0.0045 
 495 0.0715 0.0047 
 496 0.0723 0.0048 
 497 0.0726 0.0050 
 498 0.0734 0.0051 
 499 0.0742 0.0054 
 500 0.0748 0.0057 
 501 0.0758 0.0060 
 502 0.0767 0.0062 
 503 0.0779 0.0067 
 504 0.0789 0.0071 
 505 0.0803 0.0076 
 506 0.0815 0.0083 
 507 0.0828 0.0089 
 508 0.0842 0.0096 
 509 0.0857 0.0105 
 510 0.0875 0.0114 
 511 0.0891 0.0125 
 512 0.0912 0.0136 
 513 0.0929 0.0150 
 514 0.0949 0.0165 
 515 0.0969 0.0181 
 516 0.0991 0.0197 
 517 0.1013 0.0217 
 518 0.1039 0.0238 
 519 0.1060 0.0260 
 520 0.1085 0.0284 
 521 0.1110 0.0309 
 522 0.1134 0.0335 
 523 0.1159 0.0362 
 524 0.1182 0.0388 
 525 0.1207 0.0414 
 526 0.1232 0.0441 
 527 0.1254 0.0467 
 528 0.1272 0.0491 
 529 0.1292 0.0516 
 530 0.1312 0.0539 
 531 0.1328 0.0556 
 532 0.1344 0.0576 
 533 0.1357 0.0593 
 534 0.1368 0.0608 
 535 0.1378 0.0621 
 536 0.1390 0.0633 
 537 0.1397 0.0644 
 538 0.1407 0.0653 
 539 0.1411 0.0664 
 540 0.1416 0.0669 
 541 0.1422 0.0676 
 542 0.1425 0.0681 
 543 0.1430 0.0688 
 544 0.1431 0.0691 
 545 0.1434 0.0699 
 546 0.1437 0.0703 
 547 0.1443 0.0710 
 548 0.1446 0.0713 
 549 0.1450 0.0718 
 550 0.1452 0.0720 
 551 0.1452 0.0723 
 552 0.1451 0.0724 
 553 0.1448 0.0725 
 554 0.1448 0.0724 
 555 0.1443 0.0723 
 556 0.1445 0.0720 
 557 0.1439 0.0718 
 558 0.1436 0.0709 
 559 0.1425 0.0704 
 560 0.1418 0.0695 
 561 0.1410 0.0682 
 562 0.1402 0.0671 
 563 0.1390 0.0656 
 564 0.1376 0.0644 
 565 0.1363 0.0630 
 566 0.1349 0.0611 
 567 0.1334 0.0593 
 568 0.1317 0.0573 
 569 0.1299 0.0554 
 570 0.1282 0.0536 
 571 0.1267 0.0516 
 572 0.1250 0.0494 
 573 0.1234 0.0476 
 574 0.1220 0.0461 
 575 0.1208 0.0443 
 576 0.1192 0.0430 
 577 0.1179 0.0416 
 578 0.1166 0.0404 
 579 0.1158 0.0391 
 580 0.1145 0.0383 
 581 0.1139 0.0373 
 582 0.1133 0.0362 
 583 0.1118 0.0353 
 584 0.1115 0.0348 
 585 0.1110 0.0339 
 586 0.1100 0.0332 
 587 0.1095 0.0326 
 588 0.1090 0.0321 
 589 0.1084 0.0316 
 590 0.1083 0.0312 
 591 0.1078 0.0308 
 592 0.1073 0.0305 
 593 0.1071 0.0304 
 594 0.1070 0.0300 
 595 0.1066 0.0297 
 596 0.1067 0.0295 
 597 0.1062 0.0294 
 598 0.1057 0.0292 
 599 0.1056 0.0289 
 600 0.1055 0.0288 
 601 0.1049 0.0285 
 602 0.1049 0.0281 
 603 0.1044 0.0279 
 604 0.1040 0.0275 
 605 0.1032 0.0268 
 606 0.1025 0.0265 
 607 0.1018 0.0258 
 608 0.1013 0.0250 
 609 0.1004 0.0245 
 610 0.0996 0.0238 
 611 0.0989 0.0231 
 612 0.0980 0.0224 
 613 0.0972 0.0216 
 614 0.0966 0.0209 
 615 0.0960 0.0204 
 616 0.0949 0.0198 
 617 0.0942 0.0192 
 618 0.0940 0.0187 
 619 0.0934 0.0182 
 620 0.0929 0.0180 
 621 0.0924 0.0176 
 622 0.0918 0.0172 
 623 0.0915 0.0170 
 624 0.0913 0.0169 
 625 0.0912 0.0168 
 626 0.0911 0.0167 
 627 0.0912 0.0165 
 628 0.0907 0.0164 
 629 0.0906 0.0166 
 630 0.0909 0.0165 
 631 0.0907 0.0166 
 632 0.0903 0.0163 
 633 0.0904 0.0163 
 634 0.0901 0.0163 
 635 0.0898 0.0160 
 636 0.0895 0.0157 
 637 0.0894 0.0155 
 638 0.0889 0.0150 
 639 0.0882 0.0147 
 640 0.0875 0.0145 
 641 0.0870 0.0140 
 642 0.0866 0.0134 
 643 0.0859 0.0131 
 644 0.0853 0.0127 
 645 0.0848 0.0122 
 646 0.0839 0.0117 
 647 0.0829 0.0113 
 648 0.0822 0.0109 
 649 0.0814 0.0106 
 650 0.0812 0.0102 
 651 0.0806 0.0101 
 652 0.0801 0.0099 
 653 0.0793 0.0097 
 654 0.0790 0.0095 
 655 0.0777 0.0091 
 656 0.0778 0.0089 
 657 0.0770 0.0085 
 658 0.0759 0.0082 
 659 0.0749 0.0078 
 660 0.0740 0.0075 
 661 0.0730 0.0072 
 662 0.0718 0.0068 
 663 0.0708 0.0065 
 664 0.0705 0.0064 
 665 0.0695 0.0061 
 666 0.0688 0.0060 
 667 0.0680 0.0058 
 668 0.0673 0.0057 
 669 0.0665 0.0055 
 670 0.0663 0.0055 
 671 0.0660 0.0053 
 672 0.0655 0.0052 
 673 0.0652 0.0052 
 674 0.0651 0.0051 
 675 0.0646 0.0051 
 676 0.0649 0.0051 
 677 0.0649 0.0051 
 678 0.0649 0.0051 
 679 0.0648 0.0051 
 680 0.0649 0.0051 
 681 0.0652 0.0051 
 682 0.0660 0.0053 
 683 0.0664 0.0054 
 684 0.0674 0.0054 
 685 0.0682 0.0057 
 686 0.0698 0.0061 
 687 0.0719 0.0064 
 688 0.0736 0.0070 
 689 0.0767 0.0079 
 690 0.0792 0.0090 
 691 0.0822 0.0105 
 692 0.0858 0.0123 
 693 0.0896 0.0147 
 694 0.0937 0.0177 
 695 0.0978 0.0212 
 696 0.1019 0.0251 
 697 0.1066 0.0300 
 698 0.1110 0.0351 
 699 0.1157 0.0408 
 700 0.1209 0.0470 
 701 0.1258 0.0536 
 702 0.1315 0.0605 
 703 0.1367 0.0672 
 704 0.1414 0.0742 
 705 0.1468 0.0813 
 706 0.1518 0.0884 
 707 0.1574 0.0959 
 708 0.1630 0.1040 
 709 0.1686 0.1121 
 710 0.1743 0.1194 
 711 0.1812 0.1282 
 712 0.1885 0.1364 
 713 0.1958 0.1449 
 714 0.2012 0.1539 
 715 0.2082 0.1632 
 716 0.2149 0.1729 
 717 0.2231 0.1824 
 718 0.2317 0.1928 
 719 0.2403 0.2029 
 720 0.2488 0.2131 
 721 0.2564 0.2222 
 722 0.2657 0.2332 
 723 0.2742 0.2442 
 724 0.2839 0.2553 
 725 0.2929 0.2661 
 726 0.3021 0.2774 
 727 0.3108 0.2876 
 728 0.3185 0.2982 
 729 0.3283 0.3082 
 730 0.3364 0.3180 
 731 0.3453 0.3275 
 732 0.3525 0.3375 
 733 0.3610 0.3463 
 734 0.3695 0.3559 
 735 0.3766 0.3635 
 736 0.3840 0.3716 
 737 0.3890 0.3799 
 738 0.3975 0.3851 
 739 0.4032 0.3926 
 740 0.4080 0.3986 
 741 0.4127 0.4050 
 742 0.4181 0.4092 
 743 0.4232 0.4140 
 744 0.4259 0.4190 
 745 0.4318 0.4258 
 746 0.4346 0.4294 
 747 0.4373 0.4333 
 748 0.4409 0.4377 
 749 0.4451 0.4399 
 750 0.4456 0.4436 
 751 0.4477 0.4466 
 752 0.4499 0.4465 
 753 0.4512 0.4499 
 754 0.4526 0.4522 
 755 0.4560 0.4521 
 756 0.4583 0.4561 
 757 0.4568 0.4578 
 758 0.4617 0.4607 
 759 0.4607 0.4608 
 760 0.4608 0.4616 
 761 0.4611 0.4621 
 762 0.4639 0.4640 
 763 0.4637 0.4642 
 764 0.4622 0.4657 
 765 0.4633 0.4661 
 766 0.4625 0.4653 
 767 0.4674 0.4675 
 768 0.4649 0.4691 
 769 0.4657 0.4695 
 770 0.4660 0.4682 
 771 0.4665 0.4706 
 772 0.4675 0.4684 
 773 0.4681 0.4707 
 774 0.4690 0.4715 
 775 0.4642 0.4722 
 776 0.4667 0.4712 
 777 0.4672 0.4731 
 778 0.4690 0.4731 
 779 0.4685 0.4724 
 780 0.4692 0.4716 
 781 0.4696 0.4742 
 782 0.4660 0.4718 
 783 0.4659 0.4700 
 784 0.4680 0.4728 
