".id","id","citation_id","site_id","treatment_id","name","date","time","cultivar_id","specie_id","mean","statname","stat","n","vname","month","lon","lat","control","greenhouse","mean_unconverted","stat_unconverted"
"leafC",38553,414,624,1310,"ambient CO2 low temp",1997-12-31 06:00:00,"00:00:00",NA,984,52.8,"SE",2.2,NA,"leafC",12,-93.18,44.98,TRUE,TRUE,52.8,2.2
"leafC",38554,414,624,1312,"ambient CO2 medium temp",1997-12-31 06:00:00,"00:00:00",NA,984,48.9,"SE",0.4,NA,"leafC",12,-93.18,44.98,FALSE,TRUE,48.9,0.4
"leafC",38555,414,624,1314,"ambient CO2 high temp",1997-12-31 06:00:00,"00:00:00",NA,984,53.7,"SE",2,NA,"leafC",12,-93.18,44.98,FALSE,TRUE,53.7,2
"leafC",38556,414,624,1311,"elevated CO2 low temp",1997-12-31 06:00:00,"00:00:00",NA,984,52.3,"SE",2.3,NA,"leafC",12,-93.18,44.98,FALSE,TRUE,52.3,2.3
"leafC",38557,414,624,1313,"elevated CO2 medium temp",1997-12-31 06:00:00,"00:00:00",NA,984,50.6,"SE",1.9,NA,"leafC",12,-93.18,44.98,FALSE,TRUE,50.6,1.9
"leafC",38559,414,624,1315,"elevated CO2 high temp",1997-12-31 06:00:00,"00:00:00",NA,984,50.9,"SE",2.2,NA,"leafC",12,-93.18,44.98,FALSE,TRUE,50.9,2.2
"leafC",38573,414,624,1310,"ambient CO2 low temp",1997-12-31 06:00:00,"00:00:00",NA,973,51.1,"SE",2,NA,"leafC",12,-93.18,44.98,TRUE,TRUE,51.1,2
"leafC",38574,414,624,1312,"ambient CO2 medium temp",1997-12-31 06:00:00,"00:00:00",NA,973,48.4,"SE",0.4,NA,"leafC",12,-93.18,44.98,FALSE,TRUE,48.4,0.4
"leafC",38575,414,624,1314,"ambient CO2 high temp",1997-12-31 06:00:00,"00:00:00",NA,973,47.7,"SE",0.2,NA,"leafC",12,-93.18,44.98,FALSE,TRUE,47.7,0.2
"leafC",38576,414,624,1311,"elevated CO2 low temp",1997-12-31 06:00:00,"00:00:00",NA,973,50.5,"SE",2.1,NA,"leafC",12,-93.18,44.98,FALSE,TRUE,50.5,2.1
"leafC",38577,414,624,1313,"elevated CO2 medium temp",1997-12-31 06:00:00,"00:00:00",NA,973,48.3,"SE",0.1,NA,"leafC",12,-93.18,44.98,FALSE,TRUE,48.3,0.1
"leafC",38578,414,624,1315,"elevated CO2 high temp",1997-12-31 06:00:00,"00:00:00",NA,973,50.5,"SE",1.5,NA,"leafC",12,-93.18,44.98,FALSE,TRUE,50.5,1.5
"leaf_respiration_rate_m2",37247,391,603,1240,"Observational",1993-07-15 00:00:00,"00:00:00",NA,993,1.5,NA,NA,1,"leaf_respiration_rate_m2",7,-105.61,40.06,TRUE,FALSE,1.5,NA
"leaf_respiration_rate_m2",37254,391,603,1240,"Observational",1993-07-15 00:00:00,"00:00:00",NA,970,1,NA,NA,1,"leaf_respiration_rate_m2",7,-105.61,40.06,TRUE,FALSE,1,NA
"leaf_respiration_rate_m2",49724,689,853,2066,"Control",NA,NA,NA,1019,1.4,"SE",0.2,50,"leaf_respiration_rate_m2",NA,-79.0833,35.9667,TRUE,FALSE,1.4,0.2
"leaf_respiration_rate_m2",49725,689,853,2066,"Control",NA,NA,NA,1019,1.8,"SE",0.1,50,"leaf_respiration_rate_m2",NA,-79.0833,35.9667,TRUE,FALSE,1.8,0.1
"leaf_respiration_rate_m2",49726,689,853,2066,"Control",NA,NA,NA,1019,1.3,"SE",0.02,50,"leaf_respiration_rate_m2",NA,-79.0833,35.9667,TRUE,FALSE,1.3,0.02
"leaf_respiration_rate_m2",49727,689,853,2066,"Control",NA,NA,NA,1019,1.1,"SE",0.1,NA,"leaf_respiration_rate_m2",NA,-79.0833,35.9667,TRUE,FALSE,1.1,0.1
"leaf_respiration_rate_m2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"root_turnover_rate",22156,235,300,735,"normal atmospheric CO2 level",NA,"19:53:00",NA,1019,0.98,"SE",0.044,3,"root_turnover_rate",NA,-79.015,35.97,TRUE,FALSE,0.98,0.044
"root_turnover_rate",22158,235,300,735,"normal atmospheric CO2 level",NA,"19:53:00",NA,1019,0.47,"SE",0.044,1,"root_turnover_rate",NA,-79.015,35.97,TRUE,FALSE,0.47,0.044
"root_turnover_rate",22159,235,300,735,"normal atmospheric CO2 level",NA,"19:53:00",NA,1019,0.43,"SE",0.044,3,"root_turnover_rate",NA,-79.015,35.97,TRUE,FALSE,0.43,0.044
"root_turnover_rate",22157,235,300,735,"normal atmospheric CO2 level",NA,"19:53:00",NA,1019,0.56,"SE",0.044,3,"root_turnover_rate",NA,-79.015,35.97,TRUE,FALSE,0.56,0.044
"leaf_turnover_rate",26934,336,NA,0,NA,NA,"00:00:00",0,1020,0.588,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.588,NA
"leaf_turnover_rate",26831,336,NA,0,NA,NA,"00:00:00",0,6,0.27,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.27,NA
"leaf_turnover_rate",26832,336,NA,0,NA,NA,"00:00:00",0,6,0.27,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.27,NA
"leaf_turnover_rate",26833,336,NA,0,NA,NA,"00:00:00",0,6,0.263,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.263,NA
"leaf_turnover_rate",26834,336,NA,0,NA,NA,"00:00:00",0,6,0.27,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.27,NA
"leaf_turnover_rate",26835,336,NA,0,NA,NA,"00:00:00",0,6,0.278,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.278,NA
"leaf_turnover_rate",26855,336,NA,0,NA,NA,"00:00:00",0,967,0.141,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.141,NA
"leaf_turnover_rate",26856,336,NA,0,NA,NA,"00:00:00",0,967,0.189,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.189,NA
"leaf_turnover_rate",26857,336,NA,0,NA,NA,"00:00:00",0,967,0.244,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.244,NA
"leaf_turnover_rate",26858,336,NA,0,NA,NA,"00:00:00",0,967,0.4,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.4,NA
"leaf_turnover_rate",26859,336,NA,0,NA,NA,"00:00:00",0,967,0.182,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.182,NA
"leaf_turnover_rate",26860,336,NA,0,NA,NA,"00:00:00",0,967,0.313,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.313,NA
"leaf_turnover_rate",26861,336,NA,0,NA,NA,"00:00:00",0,967,0.323,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.323,NA
"leaf_turnover_rate",26862,336,NA,0,NA,NA,"00:00:00",0,967,0.13,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.13,NA
"leaf_turnover_rate",26863,336,NA,0,NA,NA,"00:00:00",0,967,0.189,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.189,NA
"leaf_turnover_rate",26864,336,NA,0,NA,NA,"00:00:00",0,967,0.182,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.182,NA
"leaf_turnover_rate",26865,336,NA,0,NA,NA,"00:00:00",0,978,0.088,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.088,NA
"leaf_turnover_rate",26866,336,NA,0,NA,NA,"00:00:00",0,978,0.169,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.169,NA
"leaf_turnover_rate",26867,336,NA,0,NA,NA,"00:00:00",0,978,0.123,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.123,NA
"leaf_turnover_rate",26868,336,NA,0,NA,NA,"00:00:00",0,978,0.125,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.125,NA
"leaf_turnover_rate",26869,336,NA,0,NA,NA,"00:00:00",0,984,0.286,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.286,NA
"leaf_turnover_rate",26870,336,NA,0,NA,NA,"00:00:00",0,984,0.303,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.303,NA
"leaf_turnover_rate",26871,336,NA,0,NA,NA,"00:00:00",0,984,0.278,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.278,NA
"leaf_turnover_rate",26872,336,NA,0,NA,NA,"00:00:00",0,984,0.303,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.303,NA
"leaf_turnover_rate",26873,336,NA,0,NA,NA,"00:00:00",0,984,0.27,NA,NA,1,"leaf_turnover_rate",NA,NA,NA,NA,NA,0.27,NA
