"id","genus","species","scientificname"
1419,"Tsuga","canadensis","Tsuga canadensis"
1418,"Tsuga","","Tsuga"
3,"Abies","","Abies"
6,"Abies","balsamea","Abies balsamea"
2139,"Abies","","Abies balsamea var. balsamea"
984,"Pinus","banksiana","Pinus banksiana"
989,"Pinus","contorta","Pinus contorta var. bolanderi"
1008,"Pinus","ponderosa","Pinus ponderosa"
1013,"Pinus","resinosa","Pinus resinosa"
1017,"Pinus","strobus","Pinus strobus"
1018,"Pinus","sylvestris","Pinus sylvestris"
991,"Pinus","edulis","Pinus edulis"
993,"Pinus","flexilis","Pinus flexilis"
1014,"Pinus","rigida","Pinus rigida"
1020,"Pinus","virginiana","Pinus virginiana"
23314,"Pinus","","Pinus contorta"
23336,"Pinus","","Pinus contorta var. contorta"
23348,"Pinus","","Pinus contorta var. latifolia"
23360,"Pinus","","Pinus contorta var. murrayana"
23895,"Pinus","","Pinus ponderosa var. ponderosa"
23906,"Pinus","","Pinus ponderosa var. scopulorum"
967,"Picea","abies","Picea abies"
969,"Picea","engelmanii","Picea engelmanii"
970,"Picea","engelmannii","Picea engelmannii"
971,"Picea","glauca","Picea glauca"
972,"Picea","glauca","Picea engelmannii var. engelmannii"
973,"Picea","mariana","Picea mariana"
974,"Picea","mariana","Picea mariana var. mariana"
978,"Picea","rubens","Picea rubens"
977,"Picea","pungens","Picea pungens"
1386,"Thuja","occidentalis","Thuja occidentalis"
48569,"Pseudotsuga","","Pseudotsuga menziesii var. glauca"
48580,"Pseudotsuga","","Pseudotsuga menziesii var. menziesii"
1107,"Pseudotsuga","menziesii","Pseudotsuga menziesii"
48537,"Pseudotsuga","","Pseudotsuga"
990,"Pinus","echinata","Pinus echinata"
992,"Pinus","elliottii","Pinus elliottii"
994,"Pinus","glabra","Pinus glabra"
1004,"Pinus","palustris","Pinus palustris"
1000,"Pinus","monticola","Pinus monticola"
1002,"Pinus","nigra","Pinus nigra"
1019,"Pinus","taeda","Pinus taeda"
1012,"Pinus","radiata","Pinus radiata"
1011,"Pinus","pungens","Pinus pungens"
997,"Pinus","jeffreyi","Pinus jeffreyi"
23073,"Pinus","","Pinus"
23459,"Pinus","","Pinus engelmannii"
964,"Picea","","Picea spp."
21620,"Picea","","Picea"
721,"Juniperus","","Juniperus"
727,"Juniperus","virginiana","Juniperus virginiana"
1371,"Taxus","brevifolia","Taxus brevifolia"
37967,"Taxus","","Taxus"
4874,"Metasequoia","","Metasequoia"
1387,"Thuja","plicata","Thuja plicata"
7201,"Sequoia","","Sequoia"
7213,"Sequoia","","Sequoia sempervirens"
4886,"Metasequoia","","Metasequoia glyptostroboides"
1369,"Taxodium","distichum","Taxodium distichum"
1368,"Taxodium","ascendens","Taxodium ascendens"
11514,"Cupressus","","Cupressus"
11757,"Cupressus","","Cupressus sempervirens"
11719,"Cupressus","","Cupressus macrocarpa"
37925,"Taxodium","","Taxodium"
45047,"Thuja","","Thuja"
