"id";"figid";"units";"model id"
"plant_min_temp";"Plant Min Temp";"Celsius";"plant_min_temp"
"c2n_leaf";"Leaf C:N";"ratio";"c2n_leaf"
"dark_respiration_factor";"Dark Respiration Rate";"fraction";"dark_respiration_factor"
"f_labile";"Litter% Labile C";"fraction";"f_labile"
"growth_resp_factor";"Growth Respiration";"fraction";"growth_resp_factor"
"leaf_turnover_rate";"Leaf Turnover Rate";"yr-1";"leaf_turnover_rate"
"leaf_width";"Leaf Width";"mm";"leaf_width"
"mort2";"Mortality Rate";"yr-1";"mort2"
"nonlocal_dispersal";"Seed Dispersal";"fraction";"nonlocal_dispersal"
"fineroot2leaf";"Fine Root Allocation";"ratio";"q"
"quantum_efficiency";"Quantum Efficiency";"fraction";"quantum_efficiency"
"root_respiration_rate";"Root Respiration Rate";"umol CO2 kg-1 s-1";"root_respiration_factor"
"root_turnover_rate";"Root Turnover Rate";"yr-1";"root_turnover_rate"
"SLA";"Specific Leaf Area";"m2 kg-1";"SLA"
"stomatal_slope";"Stomatal Slope";"ratio";"stomatal_slope"
"Vcmax";"Vcmax";"umol CO2 m-2 s-1";"Vm0"
"Vm_low_temp";"Photosynthesis Min Temp";"Celsius";"Vm_low_temp"
"water_conductance";"Water Conductance";"mm";"water_conductance"
"cuticular_cond";"Cuticular Conductance";"umol H2O m-2 s-1";"cuticular_cond"
"seedling_mortality";"Seedling Mortality";"fraction";"seedling_mortality"
"r_fract";"Reproductive Allocation";"fraction";"r_fract"
"storage_turnover_rate";"Storage Turnover Rate";"yr-1";"storage_turnover_rate"
"T";"Transpiration";"mm  H2O m-1s-1";"T"
"agf_bs";"Aboveground Fraction of Structural Biomass";"fraction";"agf_bs"
"b1Ht";"Max Plant Height";"m";"b1Ht"
"b2Ht";"Height Allometry Exponent";;"b2Ht"
"b1Bl";"Leaf Allometry Intercept";"kg/plant/cm^b2bl";"b1Bl"
"b2Bl";"Leaf Allometry Exponent";;"b2Bl"
"b1Bs";"Stem Allometry Intercept";"kg/plant/cm^b2bl";"b1Bs"
"b2Bs";"Stem Allometry Exponent";;"b2Bs"
