"Num";"Group";"order";"Saveit";"Variable.Name";"Units";"Long.name";"Priority";"Category";"X3.hourly";"Monthly";"var_type";"ndim";"dim1";"dim2";"dim3";"dim4";"Description"
"1";1;3;1;"Yes";"RootBiom";"kg C m-2";"Total root biomass";0;"Carbon Fluxes";"Yes";"Yes";"real";1;"lon";"lat";"time";"na";""
"2";2;3;2;"Yes";"StemBiom";"kg C m-2";"Total stem biomass";0;"Carbon Fluxes";"Yes";"Yes";"real";1;"lon";"lat";"time";"na";""
"3";3;3;3;"Yes";"CO2CAS";"ppmv";"CO2CAS";0;"Carbon Fluxes";"Yes";"Yes";"real";1;"lon";"lat";"time";"na";""
"4";4;3;4;"Yes";"CropYield";"kg m-2";"CropYield";0;"Carbon Fluxes";"Yes";"Yes";"real";1;"lon";"lat";"time";"na";""
"5";5;3;5;"Yes";"SnowFrac";"-";"SnowFrac";0;"Carbon Fluxes";"Yes";"Yes";"real";1;"lon";"lat";"time";"na";""
"6";6;3;6;"Yes";"Lwdown";"W m-2";"Lwdown";0;"Carbon Fluxes";"Yes";"Yes";"real";1;"lon";"lat";"time";"na";""
"7";7;3;7;"Yes";"Swdown";"W m-2";"Swdown";0;"Carbon Fluxes";"Yes";"Yes";"real";1;"lon";"lat";"time";"na";""
"8";8;3;8;"Yes";"Qg";"W m-2";"Qg";0;"Carbon Fluxes";"Yes";"Yes";"real";1;"lon";"lat";"time";"na";""
"9";9;3;9;"Yes";"Swnet";"W m-2";"Swnet";0;"Carbon Fluxes";"Yes";"Yes";"real";1;"lon";"lat";"time";"na";""
"10";10;3;10;"Yes";"RootMoist";"kg m-2";"RootMoist";0;"Carbon Fluxes";"Yes";"Yes";"real";1;"lon";"lat";"time";"na";""
"11";11;3;11;"Yes";"Tveg";"kg m-2 s-1";"Tveg";0;"Carbon Fluxes";"Yes";"Yes";"real";1;"lon";"lat";"time";"na";""
"12";12;3;12;"Yes";"WaterTableD";"m";"WaterTableD";0;"Carbon Fluxes";"Yes";"Yes";"real";1;"lon";"lat";"time";"na";""
"13";13;3;13;"Yes";"SMFrozFrac";"-";"SMFrozFrac";0;"Carbon Fluxes";"Yes";"Yes";"real";1;"lon";"lat";"time";"na";""
"14";14;3;14;"Yes";"SMLiqFrac";"-";"SMLiqFrac";0;"Carbon Fluxes";"Yes";"Yes";"real";1;"lon";"lat";"time";"na";""
"15";15;3;15;"Yes";"Albedo";"-";"Albedo";0;"Carbon Fluxes";"Yes";"Yes";"real";1;"lon";"lat";"time";"na";""
"16";16;3;16;"Yes";"SnowT";"K";"SnowT";0;"Carbon Fluxes";"Yes";"Yes";"real";1;"lon";"lat";"time";"na";""
"17";17;3;17;"Yes";"VegT";"K";"VegT";0;"Carbon Fluxes";"Yes";"Yes";"real";1;"lon";"lat";"time";"na";""
"18";18;3;18;"Yes";"LeafC";"kg C m-2";"LeafC";0;"Carbon Fluxes";"Yes";"Yes";"real";1;"lon";"lat";"time";"na";""
