PFT Group	LandIQ Name	FREP Name	UC ANR
row	alfalfa and alfalfa mixtures	Alfalfa	
woody	almonds	Almonds	
woody	apples		
woody	avocados	Avocados	Avocado
row	beans	Dry Beans	Bean, dry
woody	bush berries		
row	carrots	Carrot	Carrot
woody	cherries		
row	cole crops	Broccoli, Cauliflower	Broccoli
row	corn sorghum sudan	Corn	Corn / Corn, sweet
row	cotton	Cotton	Cotton
woody	dates		
row	flowers nursery and christmas tree farms		
row	greenhouse		
woody	kiwis		
row	lettuce or leafy greens	Lettuce	Lettuce / Celery
row	melons squash and cucumber	Melons	Melon, cantaloupe / Melon, watermelon / Melons (mixed)
woody	miscellaneous deciduous		
row	miscellaneous field		
hay	miscellaneous grain and hay		Oats
row	miscellaneous grasses		
woody	miscellaneous subtropical fruits		
row	miscellaneous truck		
woody	mixed deciduous		Grape, raisin
row	mixed pasture		
row	native pasture		
	new prepped for production		
	not cropped or classified		
woody	olives	Olives	
row	onions and garlic	Onion	Onion
woody	peaches and nectarines	Peaches/Nectarines	Nectarine / Peach, cling / free / bell / chili
woody	pears		
row	peppers		Pepper, bell / chili
woody	pistachios	Pistachios	Pistachios
woody	plums prunes or apricots	Prunes/Plums	Plums, dried / fresh
woody	pomegranates		
row	potato or sweet potato	Potato	
row	potatoes	Potato	
rice	rice	Rice	Rice
row	safflower	Safflower	Safflower
row	strawberries	Strawberries	Strawberry
row	sunflowers	Sunflower	
row	tomatoes	Tomatoes	Tomatoes, fresh market / processing
woody	walnuts	Walnuts	Walnuts
row	wheat	Wheat	Wheat
rice	wild rice		
woody	wine grapes	Grapevines	
row	Corn (field & sweet)	Corn	Corn / Corn, sweet
hay	Barley	Barley	Barley
hay	Oats		Oats
rice	Rice, subclass not specified	Rice	Rice
woody	Plums	Prunes/Plums	Plums, dried / fresh
row	Celery	Celery	Celery
row	Lettuce (all types)	Lettuce	Lettuce
row	Melons, squash, and cucumbers (all types)	Melons	Melon, cantaloupe / Melon, watermelon / Melons (mixed)
row	Broccoli	Broccoli, Cauliflower	Broccoli
row	Cauliflower	Broccoli, Cauliflower	Cauliflower
row	Tomato all for remote sensing	Tomatoes	Tomatoes, fresh market / processing
woody	Table grapes	Grapevines	Grapevines
woody	Raisin grapes	Grapevines	Grape, raisin
woody	Vineyards, subclass not specified	Grapevines	Grapevines
